correctionTimer ; 165.341 ; 3.06187 ; setSolutionTimer ; 4.72878 ; 0.08757 ; cycleWatch ; 11390.9 ; 1265.65 ; setupWatch ; 36.1312 ; 36.1312 ; restrictionTimer ; 218.077 ; 4.03846 ; preSmoothTimer ; 5061.78 ; 93.7366 ; upResidualTimer ; 480.159 ; 8.89182 ; postSmoothTimer ; 5016.12 ; 92.8912 ; commTimer ; 1673.11 ; 2.55828 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 165.369 ; 3.06239 ; setSolutionTimer ; 5.1932 ; 0.0961704 ; cycleWatch ; 11372.4 ; 1263.6 ; setupWatch ; 36.1309 ; 36.1309 ; restrictionTimer ; 216.079 ; 4.00146 ; preSmoothTimer ; 5072.44 ; 93.9341 ; upResidualTimer ; 470.955 ; 8.72139 ; postSmoothTimer ; 5011.82 ; 92.8114 ; commTimer ; 1639.57 ; 2.50699 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 157.624 ; 2.91896 ; setSolutionTimer ; 4.49926 ; 0.0833196 ; cycleWatch ; 11356 ; 1261.77 ; setupWatch ; 36.1087 ; 36.1087 ; restrictionTimer ; 191.244 ; 3.54155 ; preSmoothTimer ; 5068.69 ; 93.8646 ; upResidualTimer ; 500.055 ; 9.26029 ; postSmoothTimer ; 4987.34 ; 92.3581 ; commTimer ; 1811.88 ; 2.77046 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 189.085 ; 3.50158 ; setSolutionTimer ; 6.83226 ; 0.126523 ; cycleWatch ; 11335.7 ; 1259.52 ; setupWatch ; 36.1805 ; 36.1805 ; restrictionTimer ; 221.425 ; 4.10046 ; preSmoothTimer ; 5101.13 ; 94.4653 ; upResidualTimer ; 435.374 ; 8.06247 ; postSmoothTimer ; 4990.25 ; 92.412 ; commTimer ; 1438.14 ; 2.199 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.535 ; 3.67658 ; setSolutionTimer ; 7.26068 ; 0.134457 ; cycleWatch ; 11406.7 ; 1267.41 ; setupWatch ; 36.1493 ; 36.1493 ; restrictionTimer ; 208.746 ; 3.86566 ; preSmoothTimer ; 5079.19 ; 94.059 ; upResidualTimer ; 469.769 ; 8.69942 ; postSmoothTimer ; 4999.74 ; 92.5878 ; commTimer ; 1429.37 ; 2.18558 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.519 ; 3.67629 ; setSolutionTimer ; 6.69985 ; 0.124071 ; cycleWatch ; 11418.3 ; 1268.7 ; setupWatch ; 36.1723 ; 36.1723 ; restrictionTimer ; 215.625 ; 3.99305 ; preSmoothTimer ; 5064.89 ; 93.7943 ; upResidualTimer ; 477.857 ; 8.8492 ; postSmoothTimer ; 5006.37 ; 92.7106 ; commTimer ; 1471.6 ; 2.25016 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.633 ; 3.67839 ; setSolutionTimer ; 6.69643 ; 0.124008 ; cycleWatch ; 11430.7 ; 1270.07 ; setupWatch ; 36.1399 ; 36.1399 ; restrictionTimer ; 214.677 ; 3.9755 ; preSmoothTimer ; 5063.81 ; 93.7743 ; upResidualTimer ; 479.989 ; 8.88869 ; postSmoothTimer ; 5025.41 ; 93.0632 ; commTimer ; 1512.96 ; 2.3134 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.698 ; 3.67958 ; setSolutionTimer ; 6.67988 ; 0.123701 ; cycleWatch ; 11449.7 ; 1272.19 ; setupWatch ; 36.1767 ; 36.1767 ; restrictionTimer ; 224.516 ; 4.15771 ; preSmoothTimer ; 5040.06 ; 93.3345 ; upResidualTimer ; 494.023 ; 9.14857 ; postSmoothTimer ; 5031.6 ; 93.1777 ; commTimer ; 1455.63 ; 2.22574 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.776 ; 3.68103 ; setSolutionTimer ; 6.71297 ; 0.124314 ; cycleWatch ; 11431.4 ; 1270.15 ; setupWatch ; 36.1614 ; 36.1614 ; restrictionTimer ; 226.544 ; 4.19526 ; preSmoothTimer ; 5042.66 ; 93.3825 ; upResidualTimer ; 489.312 ; 9.06132 ; postSmoothTimer ; 5025.79 ; 93.0701 ; commTimer ; 1398.55 ; 2.13846 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.767 ; 3.68086 ; setSolutionTimer ; 7.19084 ; 0.133164 ; cycleWatch ; 11438.8 ; 1270.97 ; setupWatch ; 36.1142 ; 36.1142 ; restrictionTimer ; 217.715 ; 4.03176 ; preSmoothTimer ; 5051.85 ; 93.5528 ; upResidualTimer ; 488.462 ; 9.0456 ; postSmoothTimer ; 5028.48 ; 93.1201 ; commTimer ; 1399.5 ; 2.13991 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
