correctionTimer ; 139.403 ; 2.58153 ; setSolutionTimer ; 4.57146 ; 0.0846566 ; cycleWatch ; 4274.17 ; 474.908 ; setupWatch ; 103.774 ; 103.774 ; restrictionTimer ; 273.881 ; 5.07187 ; preSmoothTimer ; 1331.07 ; 24.6495 ; upResidualTimer ; 459.608 ; 8.51125 ; postSmoothTimer ; 1250.2 ; 23.1519 ; commTimer ; 2657.28 ; 4.12621 ; timeToSolveWatch ; 4508.57 ; 4508.57 ;
correctionTimer ; 145.951 ; 2.7028 ; setSolutionTimer ; 5.4297 ; 0.10055 ; cycleWatch ; 4314.93 ; 479.437 ; setupWatch ; 103.677 ; 103.677 ; restrictionTimer ; 255.668 ; 4.7346 ; preSmoothTimer ; 1352.65 ; 25.049 ; upResidualTimer ; 460.986 ; 8.53678 ; postSmoothTimer ; 1281.29 ; 23.7276 ; commTimer ; 2699.79 ; 4.19222 ; timeToSolveWatch ; 4508.14 ; 4508.14 ;
correctionTimer ; 145.921 ; 2.70224 ; setSolutionTimer ; 5.54165 ; 0.102623 ; cycleWatch ; 4342.59 ; 482.51 ; setupWatch ; 105.234 ; 105.234 ; restrictionTimer ; 257.016 ; 4.75956 ; preSmoothTimer ; 1341.58 ; 24.844 ; upResidualTimer ; 471.114 ; 8.72434 ; postSmoothTimer ; 1296.5 ; 24.0092 ; commTimer ; 2763.66 ; 4.2914 ; timeToSolveWatch ; 4508.14 ; 4508.14 ;
correctionTimer ; 145.991 ; 2.70355 ; setSolutionTimer ; 5.29934 ; 0.0981359 ; cycleWatch ; 4363.65 ; 484.85 ; setupWatch ; 105.229 ; 105.229 ; restrictionTimer ; 257.408 ; 4.76681 ; preSmoothTimer ; 1339.9 ; 24.813 ; upResidualTimer ; 472.935 ; 8.75806 ; postSmoothTimer ; 1321.76 ; 24.477 ; commTimer ; 2830.18 ; 4.39468 ; timeToSolveWatch ; 4508.14 ; 4508.14 ;
correctionTimer ; 146.124 ; 2.706 ; setSolutionTimer ; 5.39691 ; 0.0999428 ; cycleWatch ; 4385.87 ; 487.318 ; setupWatch ; 104.546 ; 104.546 ; restrictionTimer ; 262.191 ; 4.85539 ; preSmoothTimer ; 1336.84 ; 24.7563 ; upResidualTimer ; 474.34 ; 8.78407 ; postSmoothTimer ; 1341 ; 24.8333 ; commTimer ; 2737.78 ; 4.25121 ; timeToSolveWatch ; 4508.14 ; 4508.14 ;
correctionTimer ; 146.108 ; 2.7057 ; setSolutionTimer ; 5.52593 ; 0.102332 ; cycleWatch ; 4367.36 ; 485.263 ; setupWatch ; 106.076 ; 106.076 ; restrictionTimer ; 262.816 ; 4.86697 ; preSmoothTimer ; 1344.28 ; 24.8941 ; upResidualTimer ; 466.822 ; 8.64484 ; postSmoothTimer ; 1327.11 ; 24.5761 ; commTimer ; 2668.11 ; 4.14303 ; timeToSolveWatch ; 4508.14 ; 4508.14 ;
correctionTimer ; 146.063 ; 2.70487 ; setSolutionTimer ; 5.93173 ; 0.109847 ; cycleWatch ; 4365.39 ; 485.043 ; setupWatch ; 102.809 ; 102.809 ; restrictionTimer ; 254.025 ; 4.70417 ; preSmoothTimer ; 1349.55 ; 24.9916 ; upResidualTimer ; 469.03 ; 8.68574 ; postSmoothTimer ; 1325.71 ; 24.5502 ; commTimer ; 2668.55 ; 4.14371 ; timeToSolveWatch ; 4508.14 ; 4508.14 ;
correctionTimer ; 145.979 ; 2.70331 ; setSolutionTimer ; 5.61099 ; 0.103907 ; cycleWatch ; 4378.25 ; 486.472 ; setupWatch ; 102.809 ; 102.809 ; restrictionTimer ; 261.77 ; 4.84759 ; preSmoothTimer ; 1340.3 ; 24.8204 ; upResidualTimer ; 471.677 ; 8.73476 ; postSmoothTimer ; 1336.82 ; 24.756 ; commTimer ; 2705.71 ; 4.20141 ; timeToSolveWatch ; 4508.14 ; 4508.14 ;
correctionTimer ; 146.304 ; 2.70934 ; setSolutionTimer ; 5.53497 ; 0.1025 ; cycleWatch ; 4386.18 ; 487.353 ; setupWatch ; 101.102 ; 101.102 ; restrictionTimer ; 263.428 ; 4.8783 ; preSmoothTimer ; 1342.02 ; 24.8522 ; upResidualTimer ; 470.557 ; 8.71403 ; postSmoothTimer ; 1341.21 ; 24.8372 ; commTimer ; 2713.56 ; 4.2136 ; timeToSolveWatch ; 4508.15 ; 4508.15 ;
correctionTimer ; 145.919 ; 2.70219 ; setSolutionTimer ; 5.71767 ; 0.105883 ; cycleWatch ; 4371.77 ; 485.752 ; setupWatch ; 104.109 ; 104.109 ; restrictionTimer ; 258.13 ; 4.78019 ; preSmoothTimer ; 1348.85 ; 24.9788 ; upResidualTimer ; 470.178 ; 8.707 ; postSmoothTimer ; 1331.15 ; 24.6509 ; commTimer ; 2673.92 ; 4.15206 ; timeToSolveWatch ; 4508.15 ; 4508.15 ;
correctionTimer ; 145.957 ; 2.70291 ; setSolutionTimer ; 5.61997 ; 0.104073 ; cycleWatch ; 4372.46 ; 485.829 ; setupWatch ; 103.174 ; 103.174 ; restrictionTimer ; 258.101 ; 4.77964 ; preSmoothTimer ; 1343.3 ; 24.8759 ; upResidualTimer ; 475.278 ; 8.80144 ; postSmoothTimer ; 1332.68 ; 24.6793 ; commTimer ; 2678.38 ; 4.15898 ; timeToSolveWatch ; 4508.15 ; 4508.15 ;
