correctionTimer ; 223.695 ; 2.66304 ; setSolutionTimer ; 8.08716 ; 0.0962758 ; cycleWatch ; 6480.73 ; 462.909 ; setupWatch ; 129.077 ; 129.077 ; restrictionTimer ; 463.575 ; 5.51874 ; preSmoothTimer ; 1857.19 ; 22.1094 ; upResidualTimer ; 847.861 ; 10.0936 ; postSmoothTimer ; 1851.54 ; 22.0422 ; commTimer ; 3535.72 ; 3.73754 ; timeToSolveWatch ; 6697.24 ; 6697.24 ;
correctionTimer ; 223.617 ; 2.6621 ; setSolutionTimer ; 8.16157 ; 0.0971616 ; cycleWatch ; 6491.1 ; 463.65 ; setupWatch ; 124.924 ; 124.924 ; restrictionTimer ; 453.379 ; 5.39737 ; preSmoothTimer ; 1875.78 ; 22.3307 ; upResidualTimer ; 848.796 ; 10.1047 ; postSmoothTimer ; 1856.48 ; 22.1009 ; commTimer ; 3557.19 ; 3.76024 ; timeToSolveWatch ; 6696.92 ; 6696.92 ;
correctionTimer ; 222.93 ; 2.65392 ; setSolutionTimer ; 8.12919 ; 0.096776 ; cycleWatch ; 6492.43 ; 463.745 ; setupWatch ; 129.608 ; 129.608 ; restrictionTimer ; 464.945 ; 5.53506 ; preSmoothTimer ; 1870.94 ; 22.2731 ; upResidualTimer ; 842.591 ; 10.0308 ; postSmoothTimer ; 1862.24 ; 22.1696 ; commTimer ; 3550.24 ; 3.75289 ; timeToSolveWatch ; 6696.92 ; 6696.92 ;
correctionTimer ; 222.867 ; 2.65318 ; setSolutionTimer ; 8.13996 ; 0.0969043 ; cycleWatch ; 6490.15 ; 463.582 ; setupWatch ; 129.632 ; 129.632 ; restrictionTimer ; 449.91 ; 5.35608 ; preSmoothTimer ; 1886.77 ; 22.4615 ; upResidualTimer ; 841.5 ; 10.0179 ; postSmoothTimer ; 1865.63 ; 22.2099 ; commTimer ; 3505.63 ; 3.70573 ; timeToSolveWatch ; 6696.92 ; 6696.92 ;
correctionTimer ; 223.654 ; 2.66254 ; setSolutionTimer ; 8.17824 ; 0.09736 ; cycleWatch ; 6491.74 ; 463.696 ; setupWatch ; 127.848 ; 127.848 ; restrictionTimer ; 462.974 ; 5.5116 ; preSmoothTimer ; 1869.33 ; 22.2539 ; upResidualTimer ; 846.275 ; 10.0747 ; postSmoothTimer ; 1856.09 ; 22.0963 ; commTimer ; 3577.28 ; 3.78148 ; timeToSolveWatch ; 6696.93 ; 6696.93 ;
correctionTimer ; 223.697 ; 2.66306 ; setSolutionTimer ; 8.03179 ; 0.0956166 ; cycleWatch ; 6493.89 ; 463.849 ; setupWatch ; 131.772 ; 131.772 ; restrictionTimer ; 450.195 ; 5.35947 ; preSmoothTimer ; 1883.16 ; 22.4186 ; upResidualTimer ; 846.567 ; 10.0782 ; postSmoothTimer ; 1863 ; 22.1786 ; commTimer ; 3568.83 ; 3.77255 ; timeToSolveWatch ; 6696.93 ; 6696.93 ;
correctionTimer ; 223.018 ; 2.65498 ; setSolutionTimer ; 8.33814 ; 0.0992635 ; cycleWatch ; 6494.49 ; 463.892 ; setupWatch ; 133.065 ; 133.065 ; restrictionTimer ; 465.907 ; 5.54651 ; preSmoothTimer ; 1873.35 ; 22.3017 ; upResidualTimer ; 840.673 ; 10.008 ; postSmoothTimer ; 1864.83 ; 22.2004 ; commTimer ; 3568.56 ; 3.77227 ; timeToSolveWatch ; 6696.93 ; 6696.93 ;
correctionTimer ; 223.897 ; 2.66544 ; setSolutionTimer ; 8.3445 ; 0.0993392 ; cycleWatch ; 6493.49 ; 463.821 ; setupWatch ; 133.332 ; 133.332 ; restrictionTimer ; 445.284 ; 5.301 ; preSmoothTimer ; 1892.39 ; 22.5285 ; upResidualTimer ; 841.72 ; 10.0205 ; postSmoothTimer ; 1867.63 ; 22.2337 ; commTimer ; 3516.61 ; 3.71735 ; timeToSolveWatch ; 6696.93 ; 6696.93 ;
correctionTimer ; 223.388 ; 2.65938 ; setSolutionTimer ; 8.17169 ; 0.097282 ; cycleWatch ; 6489.18 ; 463.513 ; setupWatch ; 132.104 ; 132.104 ; restrictionTimer ; 465.715 ; 5.54423 ; preSmoothTimer ; 1868.1 ; 22.2392 ; upResidualTimer ; 845.324 ; 10.0634 ; postSmoothTimer ; 1856.5 ; 22.1012 ; commTimer ; 3565.71 ; 3.76925 ; timeToSolveWatch ; 6696.92 ; 6696.92 ;
correctionTimer ; 223.529 ; 2.66106 ; setSolutionTimer ; 7.96652 ; 0.0948395 ; cycleWatch ; 6491.91 ; 463.708 ; setupWatch ; 132.742 ; 132.742 ; restrictionTimer ; 455.861 ; 5.42692 ; preSmoothTimer ; 1882.84 ; 22.4148 ; upResidualTimer ; 842.157 ; 10.0257 ; postSmoothTimer ; 1863.31 ; 22.1823 ; commTimer ; 3566.82 ; 3.77043 ; timeToSolveWatch ; 6696.92 ; 6696.92 ;
correctionTimer ; 223.034 ; 2.65517 ; setSolutionTimer ; 8.04802 ; 0.0958097 ; cycleWatch ; 6492.49 ; 463.749 ; setupWatch ; 132.029 ; 132.029 ; restrictionTimer ; 465.765 ; 5.54482 ; preSmoothTimer ; 1871.84 ; 22.2839 ; upResidualTimer ; 842.715 ; 10.0323 ; postSmoothTimer ; 1864.79 ; 22.1999 ; commTimer ; 3566.15 ; 3.76971 ; timeToSolveWatch ; 6696.92 ; 6696.92 ;
