correctionTimer ; 140.099 ; 2.91873 ; setSolutionTimer ; 4.8826 ; 0.101721 ; cycleWatch ; 6409.88 ; 801.235 ; setupWatch ; 36.2595 ; 36.2595 ; restrictionTimer ; 264.594 ; 5.51238 ; preSmoothTimer ; 2578.96 ; 53.7283 ; upResidualTimer ; 451.593 ; 9.40818 ; postSmoothTimer ; 2561.25 ; 53.3594 ; commTimer ; 3089.03 ; 3.70387 ; timeToSolveWatch ; 6572.71 ; 6572.71 ;
correctionTimer ; 147.657 ; 3.0762 ; setSolutionTimer ; 5.22921 ; 0.108942 ; cycleWatch ; 6480 ; 810 ; setupWatch ; 36.2271 ; 36.2271 ; restrictionTimer ; 230.885 ; 4.81011 ; preSmoothTimer ; 2613.93 ; 54.4568 ; upResidualTimer ; 454.49 ; 9.46854 ; postSmoothTimer ; 2607.86 ; 54.3305 ; commTimer ; 3332.65 ; 3.99599 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 147.654 ; 3.07613 ; setSolutionTimer ; 5.03979 ; 0.104996 ; cycleWatch ; 6469.57 ; 808.697 ; setupWatch ; 36.1728 ; 36.1728 ; restrictionTimer ; 229.132 ; 4.77357 ; preSmoothTimer ; 2614.65 ; 54.4718 ; upResidualTimer ; 455.921 ; 9.49835 ; postSmoothTimer ; 2618.27 ; 54.5473 ; commTimer ; 2737.04 ; 3.28183 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 147.696 ; 3.077 ; setSolutionTimer ; 5.5119 ; 0.114831 ; cycleWatch ; 6469.09 ; 808.637 ; setupWatch ; 36.1759 ; 36.1759 ; restrictionTimer ; 225.73 ; 4.70272 ; preSmoothTimer ; 2616.78 ; 54.5163 ; upResidualTimer ; 456.662 ; 9.51378 ; postSmoothTimer ; 2615.41 ; 54.4877 ; commTimer ; 2684.35 ; 3.21865 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 147.653 ; 3.07611 ; setSolutionTimer ; 5.45123 ; 0.113567 ; cycleWatch ; 6468.89 ; 808.612 ; setupWatch ; 36.2557 ; 36.2557 ; restrictionTimer ; 225.289 ; 4.69352 ; preSmoothTimer ; 2617.8 ; 54.5374 ; upResidualTimer ; 456.137 ; 9.50286 ; postSmoothTimer ; 2613.11 ; 54.4398 ; commTimer ; 2688.1 ; 3.22314 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 147.733 ; 3.07777 ; setSolutionTimer ; 5.29804 ; 0.110376 ; cycleWatch ; 6461.63 ; 807.703 ; setupWatch ; 36.2765 ; 36.2765 ; restrictionTimer ; 229.489 ; 4.78101 ; preSmoothTimer ; 2611.69 ; 54.4103 ; upResidualTimer ; 458.202 ; 9.54588 ; postSmoothTimer ; 2613.14 ; 54.4403 ; commTimer ; 2700.88 ; 3.23846 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 147.809 ; 3.07936 ; setSolutionTimer ; 5.17834 ; 0.107882 ; cycleWatch ; 6472.3 ; 809.037 ; setupWatch ; 36.2135 ; 36.2135 ; restrictionTimer ; 222.959 ; 4.64497 ; preSmoothTimer ; 2619.45 ; 54.5718 ; upResidualTimer ; 457.125 ; 9.52343 ; postSmoothTimer ; 2617.96 ; 54.5409 ; commTimer ; 2675.78 ; 3.20837 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 147.621 ; 3.07543 ; setSolutionTimer ; 5.44111 ; 0.113356 ; cycleWatch ; 6463.24 ; 807.905 ; setupWatch ; 36.2135 ; 36.2135 ; restrictionTimer ; 224.804 ; 4.68342 ; preSmoothTimer ; 2623.53 ; 54.6569 ; upResidualTimer ; 450.915 ; 9.39406 ; postSmoothTimer ; 2612.22 ; 54.4212 ; commTimer ; 2625.21 ; 3.14774 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 147.719 ; 3.07748 ; setSolutionTimer ; 5.22469 ; 0.108848 ; cycleWatch ; 6458.82 ; 807.353 ; setupWatch ; 36.136 ; 36.136 ; restrictionTimer ; 226.178 ; 4.71204 ; preSmoothTimer ; 2622.92 ; 54.6442 ; upResidualTimer ; 450.394 ; 9.38321 ; postSmoothTimer ; 2610.68 ; 54.3891 ; commTimer ; 2668.67 ; 3.19984 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 147.65 ; 3.07604 ; setSolutionTimer ; 5.45437 ; 0.113633 ; cycleWatch ; 6460.89 ; 807.611 ; setupWatch ; 36.1817 ; 36.1817 ; restrictionTimer ; 222.004 ; 4.62508 ; preSmoothTimer ; 2623.96 ; 54.6659 ; upResidualTimer ; 453.283 ; 9.44341 ; postSmoothTimer ; 2605.57 ; 54.2827 ; commTimer ; 2633.48 ; 3.15765 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 147.612 ; 3.07525 ; setSolutionTimer ; 5.30623 ; 0.110546 ; cycleWatch ; 6460.8 ; 807.6 ; setupWatch ; 36.2004 ; 36.2004 ; restrictionTimer ; 232.287 ; 4.8393 ; preSmoothTimer ; 2619.46 ; 54.5721 ; upResidualTimer ; 447.71 ; 9.32729 ; postSmoothTimer ; 2606.38 ; 54.2997 ; commTimer ; 2721.52 ; 3.26322 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 147.647 ; 3.07599 ; setSolutionTimer ; 5.31251 ; 0.110677 ; cycleWatch ; 6456.51 ; 807.064 ; setupWatch ; 36.2472 ; 36.2472 ; restrictionTimer ; 223.461 ; 4.65544 ; preSmoothTimer ; 2626.61 ; 54.721 ; upResidualTimer ; 449.375 ; 9.36197 ; postSmoothTimer ; 2603.11 ; 54.2315 ; commTimer ; 2703.01 ; 3.24102 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 147.637 ; 3.07576 ; setSolutionTimer ; 5.25096 ; 0.109395 ; cycleWatch ; 6459.27 ; 807.408 ; setupWatch ; 36.0917 ; 36.0917 ; restrictionTimer ; 224.459 ; 4.67622 ; preSmoothTimer ; 2623.49 ; 54.656 ; upResidualTimer ; 451.512 ; 9.4065 ; postSmoothTimer ; 2608.38 ; 54.3414 ; commTimer ; 2700.17 ; 3.23762 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 147.641 ; 3.07586 ; setSolutionTimer ; 5.47198 ; 0.114 ; cycleWatch ; 6454.75 ; 806.844 ; setupWatch ; 36.1127 ; 36.1127 ; restrictionTimer ; 227.029 ; 4.72976 ; preSmoothTimer ; 2615.39 ; 54.4872 ; upResidualTimer ; 456.763 ; 9.5159 ; postSmoothTimer ; 2600.65 ; 54.1803 ; commTimer ; 2635.95 ; 3.16061 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 147.656 ; 3.07617 ; setSolutionTimer ; 5.42382 ; 0.112996 ; cycleWatch ; 6456.5 ; 807.062 ; setupWatch ; 36.0833 ; 36.0833 ; restrictionTimer ; 220.678 ; 4.59747 ; preSmoothTimer ; 2620.2 ; 54.5875 ; upResidualTimer ; 458.246 ; 9.5468 ; postSmoothTimer ; 2598.49 ; 54.1353 ; commTimer ; 2959.99 ; 3.54915 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 140.402 ; 2.92504 ; setSolutionTimer ; 4.89343 ; 0.101946 ; cycleWatch ; 6438 ; 804.75 ; setupWatch ; 36.1945 ; 36.1945 ; restrictionTimer ; 224.87 ; 4.6848 ; preSmoothTimer ; 2621.05 ; 54.6053 ; upResidualTimer ; 453.506 ; 9.44805 ; postSmoothTimer ; 2579.8 ; 53.7458 ; commTimer ; 2780.66 ; 3.33412 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 170.087 ; 3.54349 ; setSolutionTimer ; 7.31339 ; 0.152362 ; cycleWatch ; 6435.51 ; 804.438 ; setupWatch ; 36.0372 ; 36.0372 ; restrictionTimer ; 258.654 ; 5.38862 ; preSmoothTimer ; 2581.27 ; 53.7765 ; upResidualTimer ; 457.275 ; 9.52656 ; postSmoothTimer ; 2554.48 ; 53.2184 ; commTimer ; 2855.96 ; 3.42441 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 178.5 ; 3.71875 ; setSolutionTimer ; 7.1593 ; 0.149152 ; cycleWatch ; 6499.34 ; 812.417 ; setupWatch ; 36.1328 ; 36.1328 ; restrictionTimer ; 216.62 ; 4.51291 ; preSmoothTimer ; 2619.68 ; 54.5766 ; upResidualTimer ; 461.333 ; 9.6111 ; postSmoothTimer ; 2601.58 ; 54.1997 ; commTimer ; 3132.98 ; 3.75657 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 178.554 ; 3.71988 ; setSolutionTimer ; 7.20108 ; 0.150022 ; cycleWatch ; 6494.62 ; 811.828 ; setupWatch ; 36.1665 ; 36.1665 ; restrictionTimer ; 214.273 ; 4.46402 ; preSmoothTimer ; 2621.04 ; 54.6049 ; upResidualTimer ; 462.474 ; 9.63488 ; postSmoothTimer ; 2606.87 ; 54.3099 ; commTimer ; 2705.53 ; 3.24404 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 178.604 ; 3.72093 ; setSolutionTimer ; 7.30365 ; 0.152159 ; cycleWatch ; 6490.01 ; 811.251 ; setupWatch ; 36.1805 ; 36.1805 ; restrictionTimer ; 227.725 ; 4.74426 ; preSmoothTimer ; 2601.09 ; 54.1893 ; upResidualTimer ; 468.837 ; 9.76744 ; postSmoothTimer ; 2597.73 ; 54.1194 ; commTimer ; 2578.31 ; 3.0915 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
correctionTimer ; 178.554 ; 3.71987 ; setSolutionTimer ; 7.39123 ; 0.153984 ; cycleWatch ; 6491.47 ; 811.433 ; setupWatch ; 36.1744 ; 36.1744 ; restrictionTimer ; 215.524 ; 4.49009 ; preSmoothTimer ; 2619.07 ; 54.564 ; upResidualTimer ; 462.949 ; 9.64476 ; postSmoothTimer ; 2600.9 ; 54.1855 ; commTimer ; 2486.29 ; 2.98117 ; timeToSolveWatch ; 6572.31 ; 6572.31 ;
