correctionTimer ; 239.368 ; 2.84961 ; setSolutionTimer ; 18.7577 ; 0.223306 ; cycleWatch ; 18174.3 ; 1298.17 ; setupWatch ; 127.692 ; 127.692 ; restrictionTimer ; 1211.01 ; 14.4168 ; preSmoothTimer ; 3929.41 ; 46.7786 ; upResidualTimer ; 2100.57 ; 25.0068 ; postSmoothTimer ; 3963.49 ; 47.1844 ; commTimer ; 13072.3 ; 13.8185 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 238.585 ; 2.84029 ; setSolutionTimer ; 16.9003 ; 0.201194 ; cycleWatch ; 18156.7 ; 1296.91 ; setupWatch ; 126.31 ; 126.31 ; restrictionTimer ; 1189.99 ; 14.1666 ; preSmoothTimer ; 3893.62 ; 46.3526 ; upResidualTimer ; 2140.27 ; 25.4794 ; postSmoothTimer ; 3941.37 ; 46.921 ; commTimer ; 12994.8 ; 13.7366 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 230.748 ; 2.747 ; setSolutionTimer ; 15.2514 ; 0.181564 ; cycleWatch ; 18126.6 ; 1294.76 ; setupWatch ; 123.131 ; 123.131 ; restrictionTimer ; 1182.87 ; 14.0818 ; preSmoothTimer ; 3927.43 ; 46.7551 ; upResidualTimer ; 2095.76 ; 24.9496 ; postSmoothTimer ; 3917.58 ; 46.6379 ; commTimer ; 12691.6 ; 13.4161 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 229.413 ; 2.7311 ; setSolutionTimer ; 15.2938 ; 0.182069 ; cycleWatch ; 18141 ; 1295.79 ; setupWatch ; 130.573 ; 130.573 ; restrictionTimer ; 1139.93 ; 13.5706 ; preSmoothTimer ; 3972.3 ; 47.2893 ; upResidualTimer ; 2052.52 ; 24.4347 ; postSmoothTimer ; 3961.73 ; 47.1635 ; commTimer ; 12975 ; 13.7156 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 240.518 ; 2.86331 ; setSolutionTimer ; 19.229 ; 0.228917 ; cycleWatch ; 18171.6 ; 1297.97 ; setupWatch ; 133.397 ; 133.397 ; restrictionTimer ; 1181.82 ; 14.0693 ; preSmoothTimer ; 3970.72 ; 47.2705 ; upResidualTimer ; 2049.74 ; 24.4017 ; postSmoothTimer ; 3959.38 ; 47.1355 ; commTimer ; 13470.3 ; 14.2392 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 238.937 ; 2.84449 ; setSolutionTimer ; 15.6173 ; 0.185921 ; cycleWatch ; 18196.8 ; 1299.77 ; setupWatch ; 130.417 ; 130.417 ; restrictionTimer ; 1156 ; 13.762 ; preSmoothTimer ; 3973.01 ; 47.2978 ; upResidualTimer ; 2090.72 ; 24.8895 ; postSmoothTimer ; 3989.25 ; 47.491 ; commTimer ; 13517.8 ; 14.2894 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 239.098 ; 2.8464 ; setSolutionTimer ; 17.3127 ; 0.206104 ; cycleWatch ; 18226.2 ; 1301.87 ; setupWatch ; 124.719 ; 124.719 ; restrictionTimer ; 1165.24 ; 13.872 ; preSmoothTimer ; 3994.02 ; 47.5478 ; upResidualTimer ; 2076.9 ; 24.725 ; postSmoothTimer ; 4005.66 ; 47.6864 ; commTimer ; 13561.6 ; 14.3357 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 239.838 ; 2.85521 ; setSolutionTimer ; 16.2099 ; 0.192975 ; cycleWatch ; 18236.7 ; 1302.62 ; setupWatch ; 127.689 ; 127.689 ; restrictionTimer ; 1167.35 ; 13.897 ; preSmoothTimer ; 3999.18 ; 47.6093 ; upResidualTimer ; 2076.04 ; 24.7148 ; postSmoothTimer ; 4030.88 ; 47.9867 ; commTimer ; 13529.8 ; 14.3021 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 239.073 ; 2.84611 ; setSolutionTimer ; 17.6625 ; 0.210267 ; cycleWatch ; 18228.7 ; 1302.05 ; setupWatch ; 137.031 ; 137.031 ; restrictionTimer ; 1139.1 ; 13.5607 ; preSmoothTimer ; 3982.82 ; 47.4145 ; upResidualTimer ; 2110.73 ; 25.1277 ; postSmoothTimer ; 3998.05 ; 47.5958 ; commTimer ; 13580.9 ; 14.3561 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 240.412 ; 2.86204 ; setSolutionTimer ; 17.5308 ; 0.2087 ; cycleWatch ; 18213.5 ; 1300.96 ; setupWatch ; 129.297 ; 129.297 ; restrictionTimer ; 1155.43 ; 13.7551 ; preSmoothTimer ; 4005.7 ; 47.6869 ; upResidualTimer ; 2083.51 ; 24.8037 ; postSmoothTimer ; 3998.74 ; 47.6041 ; commTimer ; 13583.4 ; 14.3588 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 239.562 ; 2.85193 ; setSolutionTimer ; 17.4695 ; 0.20797 ; cycleWatch ; 18223 ; 1301.65 ; setupWatch ; 125.014 ; 125.014 ; restrictionTimer ; 1201.2 ; 14.3 ; preSmoothTimer ; 3977.91 ; 47.3561 ; upResidualTimer ; 2085.16 ; 24.8234 ; postSmoothTimer ; 4014.58 ; 47.7927 ; commTimer ; 13661.3 ; 14.4412 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
