predicted;measured
6527,729077205876;9050,68
2000,6553823529412;2419,62
2389,3068627450975;2027,99
1632,9808452111617;1870,7
1571,906573529412;1680,79
1419,7983137254898;1485,7
2001,7110291101053;2107,89
1851,420551093514;1976,71
2115,519764705882;2037,47
1983,1762499999993;1736,95
2747,101323529413;5124,85
2073,2045049019607;2444,19
1685,1312254901961;1771,3
2520,8129803921574;2430,91
1546,3209191176475;1464,09
4222,5817892156865;4110,68
1771,1924509803916;2209,16
1835,8467275641024;1964,84
1382,6806862745098;1549,15
2077,9894901960783;2237,67
1859,3569632352942;1424,98
6021,284799019608;4788,44
1635,3361985294105;1516,14
5565,704551470582;7322,55
1325,8985784313722;1283,54
6427,614700980392;6709,49
7630,801536764707;7450,56
1986,2145362368026;1488,85
1517,755647058823;1914,78
1835,8871176470573;2001,98
1394,4616911764697;1691,91
2836,1202107843137;2286,14
1211,3787715309197;1585,9
7439,308666666666;5407,42
5726,116333333333;8434,02
2593,9424117647054;2135,33
7551,430139705879;7650,93
1507,2000000000005;1425,65
1702,349999999999;1759,94
1628,3540514705876;1639,12
1408,2195588235297;1647,34
1397,6354926470572;2046,6
1169,3485588235296;1847,56
2226,2240730769227;1964,39
1321,9509093137258;1270,6
2379,852823529412;1926,25
1848,8791319004517;1536,67
1842,6692156862746;1306,19
7382,778549019607;5563,66
6069,604034313721;6170,56
1861,6417275641024;1922,59
2370,239029110105;2474,4
1901,2277647058822;1934,67
2173,1280196078433;2184,33
2069,3895;2147,86
1460,5259191176474;1458,75
2198,0495294117636;2141,99
2640,8759999999993;2194,84
1261,1420588235285;1876,54
1385,3487904411759;2043,17
2298,191823529411;1998,2
1799,2459999999999;3556,58
1777,709411764706;3051,17
5611,101610294118;7232,21
1837,268676168929;1832,01
1013,0265808823522;1980,29
1408,2195588235297;1404,52
1772,026220588235;1419,55
1607,3106960784316;1362,7
1013,0265808823522;2015,16
1273,472524509804;1253,2
2285,676294117647;1880,09
2600,6942352941187;2303,73
5897,835833333329;5590,35
1312,3832132352945;2126,93
6569,474573529413;6620,25
853,1698602941176;1557,78
2009,3534901960784;2108,68
1749,1150588235291;1739,86
1701,6956911764705;1330,62
2046,3525436651585;1817,61
2011,4246274509803;1698,61
1813,6113235294113;1984,02
4679,23293137255;4482,53
5064,551465686275;7806,06
2157,3296687405723;2150,69
1256,4531544117642;2444,03
4229,466817401962;8353,11
784,0194411764707;1640,84
1346,6831446078434;1293,26
7630,801536764707;7783,21
1778,614215686275;2224,98
2206,6207058823525;1964,79
1234,8701960784313;1207,97
1200,3077843137255;1591,78
2243,2483725490197;2332,39
1638,1407715309194;1568,49
7382,778549019607;5677,4
2069,5605436651585;1985,75
1782,9529040346913;2103,6
1678,1024999999995;1197,01
2370,9901593137256;2379,91
1846,6417275641024;1835,82
7067,016884803921;7294,03
6533,231077205877;8901,56
2265,796676168929;2288,4
1858,0365588235286;2196,95
1386,6007647058825;1339,88
2107,714656862745;2060,15
1193,493198529412;1360,15
1673,4743529411753;1819,95
2009,0470291101053;1971,17
1167,0380514705878;1467,79
1670,8626613122162;1663,17
1510,6065735294121;1452,94
1474,3011911764702;1174,04
1031,3768817496227;1828,38
5812,040833333329;6002,57
1237,9845588235296;1690,95
1840,1587863876318;1973,75
1665,2167715309197;1749,96
2109,4428235294113;1868,93
2681,26455882353;2106,79
2358,216676168929;2466,14
2297,052609917043;1710,22
1785,076279411764;1884,55
2444,918911764708;4008,08
2491,103159313726;2064,49
1643,4134185897442;1776,89
1859,3569632352942;1618,99
6034,364431372549;4512,25
1327,3342549019605;1275,04
2313,666323227753;2356,6
1277,7721764705882;1687,44
6393,2967009803915;6730,96
1983,3323774509809;2180,91
4208,6666237745085;4031,11
2171,9252499999993;1885,8
1951,083131900452;1676,09
1389,1017573529398;2189,53
1421,4785147058824;1205,13
1594,3690625000002;1734,65
2586,520588235294;2351,51
783,1495294117648;1250,56
