correctionTimer ; 253.302 ; 3.01551 ; setSolutionTimer ; 28.6978 ; 0.34164 ; cycleWatch ; 19334.3 ; 1381.02 ; setupWatch ; 128.399 ; 128.399 ; restrictionTimer ; 1299 ; 15.4643 ; preSmoothTimer ; 4417.82 ; 52.5931 ; upResidualTimer ; 2355.89 ; 28.0463 ; postSmoothTimer ; 4375.7 ; 52.0916 ; commTimer ; 14500.3 ; 15.328 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 249.404 ; 2.96909 ; setSolutionTimer ; 34.9356 ; 0.4159 ; cycleWatch ; 19294.2 ; 1378.16 ; setupWatch ; 126.954 ; 126.954 ; restrictionTimer ; 1299.02 ; 15.4645 ; preSmoothTimer ; 4398.04 ; 52.3577 ; upResidualTimer ; 2344.16 ; 27.9066 ; postSmoothTimer ; 4336.98 ; 51.6307 ; commTimer ; 14216.7 ; 15.0282 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 255.973 ; 3.0473 ; setSolutionTimer ; 31.5854 ; 0.376017 ; cycleWatch ; 19294.4 ; 1378.17 ; setupWatch ; 130.67 ; 130.67 ; restrictionTimer ; 1307.21 ; 15.562 ; preSmoothTimer ; 4401.9 ; 52.4036 ; upResidualTimer ; 2334.95 ; 27.797 ; postSmoothTimer ; 4342.22 ; 51.6931 ; commTimer ; 14175.9 ; 14.9851 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 256.296 ; 3.05114 ; setSolutionTimer ; 29.6443 ; 0.352909 ; cycleWatch ; 19319.4 ; 1379.96 ; setupWatch ; 128.746 ; 128.746 ; restrictionTimer ; 1306.24 ; 15.5505 ; preSmoothTimer ; 4419.44 ; 52.6124 ; upResidualTimer ; 2303.16 ; 27.4186 ; postSmoothTimer ; 4346.16 ; 51.74 ; commTimer ; 14394.5 ; 15.2162 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 258.334 ; 3.07541 ; setSolutionTimer ; 33.0761 ; 0.393763 ; cycleWatch ; 19320 ; 1380 ; setupWatch ; 126.552 ; 126.552 ; restrictionTimer ; 1320.12 ; 15.7157 ; preSmoothTimer ; 4403.51 ; 52.4227 ; upResidualTimer ; 2311.61 ; 27.5191 ; postSmoothTimer ; 4352.47 ; 51.8152 ; commTimer ; 14348 ; 15.167 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 256.68 ; 3.05571 ; setSolutionTimer ; 33.3512 ; 0.397038 ; cycleWatch ; 19352.2 ; 1382.3 ; setupWatch ; 124.353 ; 124.353 ; restrictionTimer ; 1312.99 ; 15.6309 ; preSmoothTimer ; 4403.46 ; 52.4221 ; upResidualTimer ; 2326.06 ; 27.6912 ; postSmoothTimer ; 4379.02 ; 52.1312 ; commTimer ; 14700.9 ; 15.5401 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 256.37 ; 3.05202 ; setSolutionTimer ; 35.4537 ; 0.422068 ; cycleWatch ; 19350.4 ; 1382.17 ; setupWatch ; 127.176 ; 127.176 ; restrictionTimer ; 1321.5 ; 15.7321 ; preSmoothTimer ; 4410.81 ; 52.5096 ; upResidualTimer ; 2309.41 ; 27.493 ; postSmoothTimer ; 4384.87 ; 52.2008 ; commTimer ; 14683.3 ; 15.5215 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 255.241 ; 3.03858 ; setSolutionTimer ; 30.4848 ; 0.362914 ; cycleWatch ; 19357.7 ; 1382.69 ; setupWatch ; 128.595 ; 128.595 ; restrictionTimer ; 1303.25 ; 15.5149 ; preSmoothTimer ; 4424.53 ; 52.673 ; upResidualTimer ; 2334.52 ; 27.792 ; postSmoothTimer ; 4393.12 ; 52.2991 ; commTimer ; 14783.8 ; 15.6277 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 256.949 ; 3.05892 ; setSolutionTimer ; 30.5953 ; 0.36423 ; cycleWatch ; 19352.5 ; 1382.32 ; setupWatch ; 129.823 ; 129.823 ; restrictionTimer ; 1314.64 ; 15.6505 ; preSmoothTimer ; 4458.95 ; 53.0828 ; upResidualTimer ; 2291.27 ; 27.277 ; postSmoothTimer ; 4391.54 ; 52.2803 ; commTimer ; 14769.2 ; 15.6123 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 253.405 ; 3.01673 ; setSolutionTimer ; 35.0457 ; 0.41721 ; cycleWatch ; 19371.7 ; 1383.7 ; setupWatch ; 124.932 ; 124.932 ; restrictionTimer ; 1301.76 ; 15.4971 ; preSmoothTimer ; 4428.76 ; 52.7233 ; upResidualTimer ; 2340.97 ; 27.8687 ; postSmoothTimer ; 4401.37 ; 52.3972 ; commTimer ; 14801.4 ; 15.6463 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 255.761 ; 3.04477 ; setSolutionTimer ; 32.548 ; 0.387476 ; cycleWatch ; 19361.5 ; 1382.97 ; setupWatch ; 131.079 ; 131.079 ; restrictionTimer ; 1307.76 ; 15.5686 ; preSmoothTimer ; 4418.83 ; 52.6051 ; upResidualTimer ; 2348.62 ; 27.9597 ; postSmoothTimer ; 4395.32 ; 52.3252 ; commTimer ; 14772.5 ; 15.6157 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 252.968 ; 3.01152 ; setSolutionTimer ; 36.5888 ; 0.43558 ; cycleWatch ; 19367.9 ; 1383.42 ; setupWatch ; 125.248 ; 125.248 ; restrictionTimer ; 1297.46 ; 15.446 ; preSmoothTimer ; 4435.35 ; 52.8018 ; upResidualTimer ; 2343.89 ; 27.9034 ; postSmoothTimer ; 4408.81 ; 52.4859 ; commTimer ; 14806.9 ; 15.6521 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 258.139 ; 3.07309 ; setSolutionTimer ; 28.6739 ; 0.341355 ; cycleWatch ; 19360.7 ; 1382.91 ; setupWatch ; 126.155 ; 126.155 ; restrictionTimer ; 1315.49 ; 15.6606 ; preSmoothTimer ; 4425.11 ; 52.6798 ; upResidualTimer ; 2344.06 ; 27.9055 ; postSmoothTimer ; 4399.14 ; 52.3707 ; commTimer ; 14791 ; 15.6353 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 255.29 ; 3.03917 ; setSolutionTimer ; 33.4931 ; 0.398728 ; cycleWatch ; 19373.1 ; 1383.79 ; setupWatch ; 127.431 ; 127.431 ; restrictionTimer ; 1293.83 ; 15.4027 ; preSmoothTimer ; 4445.9 ; 52.9273 ; upResidualTimer ; 2347.85 ; 27.9506 ; postSmoothTimer ; 4407.81 ; 52.4739 ; commTimer ; 14779 ; 15.6227 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 254.15 ; 3.02559 ; setSolutionTimer ; 35.0596 ; 0.417377 ; cycleWatch ; 19368.2 ; 1383.44 ; setupWatch ; 124.098 ; 124.098 ; restrictionTimer ; 1314.96 ; 15.6543 ; preSmoothTimer ; 4444.18 ; 52.9069 ; upResidualTimer ; 2327.83 ; 27.7123 ; postSmoothTimer ; 4407.7 ; 52.4726 ; commTimer ; 14789.7 ; 15.6339 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 252.128 ; 3.00152 ; setSolutionTimer ; 34.4311 ; 0.409895 ; cycleWatch ; 19352.9 ; 1382.35 ; setupWatch ; 127.073 ; 127.073 ; restrictionTimer ; 1324.3 ; 15.7655 ; preSmoothTimer ; 4429.44 ; 52.7314 ; upResidualTimer ; 2328.4 ; 27.7191 ; postSmoothTimer ; 4396.76 ; 52.3424 ; commTimer ; 14756 ; 15.5983 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 257.167 ; 3.06151 ; setSolutionTimer ; 31.393 ; 0.373726 ; cycleWatch ; 19351.9 ; 1382.28 ; setupWatch ; 124.128 ; 124.128 ; restrictionTimer ; 1302.63 ; 15.5075 ; preSmoothTimer ; 4433.19 ; 52.7761 ; upResidualTimer ; 2343.9 ; 27.9036 ; postSmoothTimer ; 4395.2 ; 52.3238 ; commTimer ; 14725.5 ; 15.566 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 253.084 ; 3.01291 ; setSolutionTimer ; 33.6391 ; 0.400465 ; cycleWatch ; 19310.1 ; 1379.3 ; setupWatch ; 129.48 ; 129.48 ; restrictionTimer ; 1290.62 ; 15.3645 ; preSmoothTimer ; 4426.25 ; 52.6935 ; upResidualTimer ; 2340.63 ; 27.8647 ; postSmoothTimer ; 4353.5 ; 51.8273 ; commTimer ; 14446.8 ; 15.2714 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 255.775 ; 3.04494 ; setSolutionTimer ; 32.3197 ; 0.384758 ; cycleWatch ; 19316.7 ; 1379.77 ; setupWatch ; 127.718 ; 127.718 ; restrictionTimer ; 1296.44 ; 15.4338 ; preSmoothTimer ; 4420.2 ; 52.6214 ; upResidualTimer ; 2344.51 ; 27.9108 ; postSmoothTimer ; 4362.92 ; 51.9395 ; commTimer ; 14409 ; 15.2315 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 253.646 ; 3.01959 ; setSolutionTimer ; 34.1734 ; 0.406827 ; cycleWatch ; 19319.3 ; 1379.95 ; setupWatch ; 128.285 ; 128.285 ; restrictionTimer ; 1321.98 ; 15.7378 ; preSmoothTimer ; 4389.56 ; 52.2567 ; upResidualTimer ; 2320.16 ; 27.621 ; postSmoothTimer ; 4348.31 ; 51.7656 ; commTimer ; 14415.5 ; 15.2384 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 255.171 ; 3.03774 ; setSolutionTimer ; 32.8843 ; 0.39148 ; cycleWatch ; 19320.6 ; 1380.05 ; setupWatch ; 131.239 ; 131.239 ; restrictionTimer ; 1307.69 ; 15.5678 ; preSmoothTimer ; 4413.13 ; 52.5372 ; upResidualTimer ; 2311.14 ; 27.5135 ; postSmoothTimer ; 4357.24 ; 51.8718 ; commTimer ; 14397.7 ; 15.2195 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 254.858 ; 3.03403 ; setSolutionTimer ; 30.7936 ; 0.36659 ; cycleWatch ; 19353.3 ; 1382.38 ; setupWatch ; 125.502 ; 125.502 ; restrictionTimer ; 1306.06 ; 15.5483 ; preSmoothTimer ; 4418.59 ; 52.6023 ; upResidualTimer ; 2332.2 ; 27.7643 ; postSmoothTimer ; 4382.95 ; 52.1779 ; commTimer ; 14712.4 ; 15.5523 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 262.916 ; 3.12995 ; setSolutionTimer ; 31.1895 ; 0.371304 ; cycleWatch ; 19345.1 ; 1381.8 ; setupWatch ; 130.997 ; 130.997 ; restrictionTimer ; 1300.11 ; 15.4775 ; preSmoothTimer ; 4417.28 ; 52.5866 ; upResidualTimer ; 2332.42 ; 27.7669 ; postSmoothTimer ; 4374.86 ; 52.0816 ; commTimer ; 14695.7 ; 15.5345 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
