correctionTimer ; 131.792 ; 2.74567 ; setSolutionTimer ; 7.0068 ; 0.145975 ; cycleWatch ; 11402.2 ; 1425.28 ; setupWatch ; 95.4438 ; 95.4438 ; restrictionTimer ; 428.989 ; 8.93726 ; preSmoothTimer ; 4343.68 ; 90.4934 ; upResidualTimer ; 746.295 ; 15.5478 ; postSmoothTimer ; 4340.56 ; 90.4284 ; commTimer ; 8707.91 ; 10.4411 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 132.924 ; 2.76924 ; setSolutionTimer ; 6.68601 ; 0.139292 ; cycleWatch ; 11385.9 ; 1423.24 ; setupWatch ; 93.3177 ; 93.3177 ; restrictionTimer ; 418.836 ; 8.72575 ; preSmoothTimer ; 4366.55 ; 90.9698 ; upResidualTimer ; 732.561 ; 15.2617 ; postSmoothTimer ; 4345.31 ; 90.5272 ; commTimer ; 8666.45 ; 10.3914 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 131.164 ; 2.73258 ; setSolutionTimer ; 6.63126 ; 0.138151 ; cycleWatch ; 11346.5 ; 1418.31 ; setupWatch ; 93.3171 ; 93.3171 ; restrictionTimer ; 435.72 ; 9.07749 ; preSmoothTimer ; 4350.1 ; 90.627 ; upResidualTimer ; 731.909 ; 15.2481 ; postSmoothTimer ; 4292.21 ; 89.4211 ; commTimer ; 8797.06 ; 10.548 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 131.622 ; 2.74213 ; setSolutionTimer ; 6.77968 ; 0.141243 ; cycleWatch ; 11344.3 ; 1418.03 ; setupWatch ; 94.1288 ; 94.1288 ; restrictionTimer ; 420.443 ; 8.75923 ; preSmoothTimer ; 4344 ; 90.5 ; upResidualTimer ; 733.947 ; 15.2906 ; postSmoothTimer ; 4293.01 ; 89.4376 ; commTimer ; 8705.88 ; 10.4387 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 132.841 ; 2.76751 ; setSolutionTimer ; 6.52526 ; 0.135943 ; cycleWatch ; 11367.1 ; 1420.88 ; setupWatch ; 94.1781 ; 94.1781 ; restrictionTimer ; 419.265 ; 8.7347 ; preSmoothTimer ; 4350.35 ; 90.6324 ; upResidualTimer ; 732.392 ; 15.2582 ; postSmoothTimer ; 4319.12 ; 89.9817 ; commTimer ; 8646.54 ; 10.3676 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 131.75 ; 2.74479 ; setSolutionTimer ; 6.90441 ; 0.143842 ; cycleWatch ; 11367 ; 1420.88 ; setupWatch ; 94.5208 ; 94.5208 ; restrictionTimer ; 425.112 ; 8.85649 ; preSmoothTimer ; 4351.86 ; 90.6637 ; upResidualTimer ; 733.927 ; 15.2901 ; postSmoothTimer ; 4316.09 ; 89.9186 ; commTimer ; 8698.21 ; 10.4295 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 132.045 ; 2.75093 ; setSolutionTimer ; 6.69171 ; 0.139411 ; cycleWatch ; 11389.5 ; 1423.69 ; setupWatch ; 94.5209 ; 94.5209 ; restrictionTimer ; 424.21 ; 8.8377 ; preSmoothTimer ; 4349.41 ; 90.6127 ; upResidualTimer ; 738.469 ; 15.3848 ; postSmoothTimer ; 4338.02 ; 90.3755 ; commTimer ; 8683.91 ; 10.4124 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 131.709 ; 2.74395 ; setSolutionTimer ; 6.59411 ; 0.137377 ; cycleWatch ; 11398.3 ; 1424.79 ; setupWatch ; 92.4397 ; 92.4397 ; restrictionTimer ; 427.499 ; 8.90623 ; preSmoothTimer ; 4346.34 ; 90.5488 ; upResidualTimer ; 742.801 ; 15.475 ; postSmoothTimer ; 4336.61 ; 90.3461 ; commTimer ; 8702.92 ; 10.4352 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 131.977 ; 2.74952 ; setSolutionTimer ; 7.04695 ; 0.146811 ; cycleWatch ; 11402.1 ; 1425.27 ; setupWatch ; 92.4835 ; 92.4835 ; restrictionTimer ; 426.13 ; 8.87771 ; preSmoothTimer ; 4345.98 ; 90.5413 ; upResidualTimer ; 744.574 ; 15.512 ; postSmoothTimer ; 4339.62 ; 90.4087 ; commTimer ; 8687.15 ; 10.4162 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 133.117 ; 2.77328 ; setSolutionTimer ; 6.49427 ; 0.135297 ; cycleWatch ; 11385.6 ; 1423.2 ; setupWatch ; 88.3745 ; 88.3745 ; restrictionTimer ; 417.413 ; 8.6961 ; preSmoothTimer ; 4366.06 ; 90.9597 ; upResidualTimer ; 733.17 ; 15.2744 ; postSmoothTimer ; 4344.07 ; 90.5015 ; commTimer ; 8657.64 ; 10.3809 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
