correctionTimer ; 155.179 ; 2.87369 ; setSolutionTimer ; 5.43733 ; 0.100691 ; cycleWatch ; 19765.5 ; 2196.16 ; setupWatch ; 32.9391 ; 32.9391 ; restrictionTimer ; 187.562 ; 3.47336 ; preSmoothTimer ; 9291.05 ; 172.056 ; upResidualTimer ; 439.042 ; 8.13041 ; postSmoothTimer ; 9288.91 ; 172.017 ; commTimer ; 1293.91 ; 1.9575 ; timeToSolveWatch ; 19854.8 ; 19854.8 ;
correctionTimer ; 159.324 ; 2.95044 ; setSolutionTimer ; 5.44281 ; 0.100793 ; cycleWatch ; 19772.9 ; 2196.99 ; setupWatch ; 33.1681 ; 33.1681 ; restrictionTimer ; 189.682 ; 3.51262 ; preSmoothTimer ; 9278.66 ; 171.827 ; upResidualTimer ; 454.304 ; 8.41303 ; postSmoothTimer ; 9262.27 ; 171.523 ; commTimer ; 1383.61 ; 2.09321 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
correctionTimer ; 159.525 ; 2.95416 ; setSolutionTimer ; 5.60137 ; 0.103729 ; cycleWatch ; 19761.6 ; 2195.73 ; setupWatch ; 33.1181 ; 33.1181 ; restrictionTimer ; 199.348 ; 3.69163 ; preSmoothTimer ; 9285.79 ; 171.959 ; upResidualTimer ; 437.575 ; 8.10324 ; postSmoothTimer ; 9261.28 ; 171.505 ; commTimer ; 1434.2 ; 2.16974 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
correctionTimer ; 159.322 ; 2.95041 ; setSolutionTimer ; 5.87187 ; 0.108738 ; cycleWatch ; 19722.3 ; 2191.36 ; setupWatch ; 33.105 ; 33.105 ; restrictionTimer ; 208.002 ; 3.8519 ; preSmoothTimer ; 9288.23 ; 172.004 ; upResidualTimer ; 426.135 ; 7.89139 ; postSmoothTimer ; 9240.91 ; 171.128 ; commTimer ; 1401.98 ; 2.121 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
correctionTimer ; 159.403 ; 2.95191 ; setSolutionTimer ; 5.43508 ; 0.10065 ; cycleWatch ; 19742 ; 2193.56 ; setupWatch ; 33.1191 ; 33.1191 ; restrictionTimer ; 190.261 ; 3.52335 ; preSmoothTimer ; 9294.39 ; 172.118 ; upResidualTimer ; 438.145 ; 8.11379 ; postSmoothTimer ; 9240.83 ; 171.126 ; commTimer ; 1402.68 ; 2.12206 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
correctionTimer ; 159.392 ; 2.9517 ; setSolutionTimer ; 5.7007 ; 0.105569 ; cycleWatch ; 19703.2 ; 2189.24 ; setupWatch ; 32.3523 ; 32.3523 ; restrictionTimer ; 222.062 ; 4.11226 ; preSmoothTimer ; 9290.19 ; 172.041 ; upResidualTimer ; 410.202 ; 7.59634 ; postSmoothTimer ; 9237.36 ; 171.062 ; commTimer ; 1373.62 ; 2.0781 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
correctionTimer ; 159.226 ; 2.94864 ; setSolutionTimer ; 5.57246 ; 0.103194 ; cycleWatch ; 19730.5 ; 2192.28 ; setupWatch ; 33.2145 ; 33.2145 ; restrictionTimer ; 189.602 ; 3.51115 ; preSmoothTimer ; 9296.38 ; 172.155 ; upResidualTimer ; 436.601 ; 8.08521 ; postSmoothTimer ; 9236 ; 171.037 ; commTimer ; 1355.93 ; 2.05133 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
correctionTimer ; 155.715 ; 2.88361 ; setSolutionTimer ; 5.40638 ; 0.100118 ; cycleWatch ; 19721 ; 2191.23 ; setupWatch ; 33.171 ; 33.171 ; restrictionTimer ; 197.288 ; 3.65349 ; preSmoothTimer ; 9270.86 ; 171.683 ; upResidualTimer ; 454.357 ; 8.41403 ; postSmoothTimer ; 9212.26 ; 170.597 ; commTimer ; 1526.59 ; 2.30951 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
correctionTimer ; 156.484 ; 2.89786 ; setSolutionTimer ; 5.52999 ; 0.102407 ; cycleWatch ; 19779.5 ; 2197.72 ; setupWatch ; 33.1425 ; 33.1425 ; restrictionTimer ; 186.876 ; 3.46066 ; preSmoothTimer ; 9318.21 ; 172.56 ; upResidualTimer ; 417.555 ; 7.7325 ; postSmoothTimer ; 9314.68 ; 172.494 ; commTimer ; 1162.7 ; 1.75901 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
correctionTimer ; 160.854 ; 2.97879 ; setSolutionTimer ; 5.55461 ; 0.102863 ; cycleWatch ; 19782.1 ; 2198.01 ; setupWatch ; 33.1691 ; 33.1691 ; restrictionTimer ; 188.906 ; 3.49827 ; preSmoothTimer ; 9300.47 ; 172.231 ; upResidualTimer ; 433.466 ; 8.02716 ; postSmoothTimer ; 9287.29 ; 171.987 ; commTimer ; 1250.72 ; 1.89216 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
correctionTimer ; 161.094 ; 2.98322 ; setSolutionTimer ; 5.57154 ; 0.103177 ; cycleWatch ; 19771.7 ; 2196.85 ; setupWatch ; 33.0611 ; 33.0611 ; restrictionTimer ; 198.702 ; 3.67967 ; preSmoothTimer ; 9306.97 ; 172.351 ; upResidualTimer ; 417.368 ; 7.72904 ; postSmoothTimer ; 9286.24 ; 171.967 ; commTimer ; 1298.56 ; 1.96453 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
correctionTimer ; 160.81 ; 2.97797 ; setSolutionTimer ; 5.87368 ; 0.108772 ; cycleWatch ; 19733.6 ; 2192.62 ; setupWatch ; 33.1581 ; 33.1581 ; restrictionTimer ; 205.052 ; 3.79726 ; preSmoothTimer ; 9309.95 ; 172.406 ; upResidualTimer ; 407.678 ; 7.54958 ; postSmoothTimer ; 9266.25 ; 171.597 ; commTimer ; 1266.1 ; 1.91544 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
correctionTimer ; 160.925 ; 2.98008 ; setSolutionTimer ; 5.51438 ; 0.102118 ; cycleWatch ; 19751.2 ; 2194.57 ; setupWatch ; 33.0137 ; 33.0137 ; restrictionTimer ; 188.078 ; 3.48292 ; preSmoothTimer ; 9317.59 ; 172.548 ; upResidualTimer ; 417.358 ; 7.72884 ; postSmoothTimer ; 9265.85 ; 171.59 ; commTimer ; 1263.09 ; 1.91088 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
correctionTimer ; 160.869 ; 2.97905 ; setSolutionTimer ; 5.81781 ; 0.107737 ; cycleWatch ; 19716 ; 2190.66 ; setupWatch ; 33.1614 ; 33.1614 ; restrictionTimer ; 215.697 ; 3.99439 ; preSmoothTimer ; 9312.66 ; 172.457 ; upResidualTimer ; 394.287 ; 7.30161 ; postSmoothTimer ; 9262.45 ; 171.527 ; commTimer ; 1235.3 ; 1.86884 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
correctionTimer ; 160.742 ; 2.9767 ; setSolutionTimer ; 5.47276 ; 0.101347 ; cycleWatch ; 19739.5 ; 2193.28 ; setupWatch ; 33.1102 ; 33.1102 ; restrictionTimer ; 187.008 ; 3.46311 ; preSmoothTimer ; 9319.41 ; 172.582 ; upResidualTimer ; 416.533 ; 7.71357 ; postSmoothTimer ; 9260.99 ; 171.5 ; commTimer ; 1222.38 ; 1.8493 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
correctionTimer ; 156.993 ; 2.90727 ; setSolutionTimer ; 5.50388 ; 0.101924 ; cycleWatch ; 19729.9 ; 2192.22 ; setupWatch ; 33.0979 ; 33.0979 ; restrictionTimer ; 193.997 ; 3.59253 ; preSmoothTimer ; 9293.69 ; 172.105 ; upResidualTimer ; 435.007 ; 8.05569 ; postSmoothTimer ; 9237.69 ; 171.068 ; commTimer ; 1390.71 ; 2.10394 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
correctionTimer ; 156.595 ; 2.89992 ; setSolutionTimer ; 5.57471 ; 0.103235 ; cycleWatch ; 19780.2 ; 2197.8 ; setupWatch ; 33.1553 ; 33.1553 ; restrictionTimer ; 185.841 ; 3.4415 ; preSmoothTimer ; 9318.58 ; 172.566 ; upResidualTimer ; 418.218 ; 7.74478 ; postSmoothTimer ; 9314.99 ; 172.5 ; commTimer ; 1162.55 ; 1.75878 ; timeToSolveWatch ; 19854.4 ; 19854.4 ;
