correctionTimer ; 207.403 ; 2.46908 ; setSolutionTimer ; 5.46729 ; 0.0650868 ; cycleWatch ; 4087.58 ; 291.97 ; setupWatch ; 48.3096 ; 48.3096 ; restrictionTimer ; 263.551 ; 3.13751 ; preSmoothTimer ; 1320.76 ; 15.7233 ; upResidualTimer ; 517.926 ; 6.16579 ; postSmoothTimer ; 1308.52 ; 15.5777 ; commTimer ; 1526.97 ; 1.61414 ; timeToSolveWatch ; 4292.61 ; 4292.61 ;
correctionTimer ; 217.335 ; 2.58732 ; setSolutionTimer ; 6.51254 ; 0.0775303 ; cycleWatch ; 4113.4 ; 293.814 ; setupWatch ; 48.3602 ; 48.3602 ; restrictionTimer ; 255.771 ; 3.04489 ; preSmoothTimer ; 1332.38 ; 15.8617 ; upResidualTimer ; 520.934 ; 6.2016 ; postSmoothTimer ; 1303.59 ; 15.5189 ; commTimer ; 1543.8 ; 1.63192 ; timeToSolveWatch ; 4292.2 ; 4292.2 ;
correctionTimer ; 217.389 ; 2.58797 ; setSolutionTimer ; 6.39194 ; 0.0760946 ; cycleWatch ; 4115.07 ; 293.933 ; setupWatch ; 48.342 ; 48.342 ; restrictionTimer ; 255.552 ; 3.04228 ; preSmoothTimer ; 1333.5 ; 15.875 ; upResidualTimer ; 520.209 ; 6.19296 ; postSmoothTimer ; 1308.07 ; 15.5722 ; commTimer ; 1552.38 ; 1.64099 ; timeToSolveWatch ; 4292.2 ; 4292.2 ;
correctionTimer ; 217.441 ; 2.58858 ; setSolutionTimer ; 6.53304 ; 0.0777743 ; cycleWatch ; 4130.51 ; 295.037 ; setupWatch ; 48.1019 ; 48.1019 ; restrictionTimer ; 254.361 ; 3.0281 ; preSmoothTimer ; 1337.49 ; 15.9226 ; upResidualTimer ; 517.337 ; 6.15878 ; postSmoothTimer ; 1315.85 ; 15.6649 ; commTimer ; 1554.24 ; 1.64296 ; timeToSolveWatch ; 4292.2 ; 4292.2 ;
correctionTimer ; 217.562 ; 2.59002 ; setSolutionTimer ; 6.46959 ; 0.0770189 ; cycleWatch ; 4135.29 ; 295.378 ; setupWatch ; 48.0608 ; 48.0608 ; restrictionTimer ; 258.88 ; 3.0819 ; preSmoothTimer ; 1336.89 ; 15.9154 ; upResidualTimer ; 513.487 ; 6.11294 ; postSmoothTimer ; 1310.45 ; 15.6006 ; commTimer ; 1555.2 ; 1.64398 ; timeToSolveWatch ; 4292.2 ; 4292.2 ;
correctionTimer ; 217.537 ; 2.58972 ; setSolutionTimer ; 6.54241 ; 0.0778858 ; cycleWatch ; 4126.22 ; 294.73 ; setupWatch ; 48.116 ; 48.116 ; restrictionTimer ; 252.846 ; 3.01007 ; preSmoothTimer ; 1343.28 ; 15.9914 ; upResidualTimer ; 513.027 ; 6.10747 ; postSmoothTimer ; 1307.37 ; 15.5639 ; commTimer ; 1539.87 ; 1.62777 ; timeToSolveWatch ; 4292.2 ; 4292.2 ;
correctionTimer ; 217.368 ; 2.58771 ; setSolutionTimer ; 6.46324 ; 0.0769433 ; cycleWatch ; 4123.9 ; 294.564 ; setupWatch ; 48.3217 ; 48.3217 ; restrictionTimer ; 254.377 ; 3.02829 ; preSmoothTimer ; 1339.75 ; 15.9494 ; upResidualTimer ; 515.028 ; 6.13128 ; postSmoothTimer ; 1310.03 ; 15.5956 ; commTimer ; 1542.42 ; 1.63046 ; timeToSolveWatch ; 4292.2 ; 4292.2 ;
correctionTimer ; 217.227 ; 2.58604 ; setSolutionTimer ; 6.494 ; 0.0773096 ; cycleWatch ; 4124.87 ; 294.634 ; setupWatch ; 48.1979 ; 48.1979 ; restrictionTimer ; 255.541 ; 3.04216 ; preSmoothTimer ; 1332.76 ; 15.8662 ; upResidualTimer ; 520.813 ; 6.20015 ; postSmoothTimer ; 1312.05 ; 15.6197 ; commTimer ; 1551.77 ; 1.64035 ; timeToSolveWatch ; 4292.2 ; 4292.2 ;
correctionTimer ; 217.374 ; 2.58779 ; setSolutionTimer ; 6.58438 ; 0.0783855 ; cycleWatch ; 4123.82 ; 294.559 ; setupWatch ; 48.1794 ; 48.1794 ; restrictionTimer ; 258.568 ; 3.07819 ; preSmoothTimer ; 1340.46 ; 15.9578 ; upResidualTimer ; 509.928 ; 6.07057 ; postSmoothTimer ; 1306.36 ; 15.5519 ; commTimer ; 1547.26 ; 1.63558 ; timeToSolveWatch ; 4292.2 ; 4292.2 ;
correctionTimer ; 217.606 ; 2.59055 ; setSolutionTimer ; 6.69216 ; 0.0796685 ; cycleWatch ; 4125.05 ; 294.646 ; setupWatch ; 47.9528 ; 47.9528 ; restrictionTimer ; 260.632 ; 3.10276 ; preSmoothTimer ; 1342.98 ; 15.9879 ; upResidualTimer ; 505.194 ; 6.01421 ; postSmoothTimer ; 1297.38 ; 15.445 ; commTimer ; 1537.88 ; 1.62567 ; timeToSolveWatch ; 4292.2 ; 4292.2 ;
correctionTimer ; 217.626 ; 2.59079 ; setSolutionTimer ; 6.5985 ; 0.0785536 ; cycleWatch ; 4122.64 ; 294.474 ; setupWatch ; 48.282 ; 48.282 ; restrictionTimer ; 253.764 ; 3.021 ; preSmoothTimer ; 1333.24 ; 15.8719 ; upResidualTimer ; 521.807 ; 6.21199 ; postSmoothTimer ; 1292.24 ; 15.3838 ; commTimer ; 1530.68 ; 1.61805 ; timeToSolveWatch ; 4292.2 ; 4292.2 ;
correctionTimer ; 217.699 ; 2.59165 ; setSolutionTimer ; 6.60474 ; 0.0786278 ; cycleWatch ; 4117.03 ; 294.074 ; setupWatch ; 48.2409 ; 48.2409 ; restrictionTimer ; 258.144 ; 3.07314 ; preSmoothTimer ; 1325.84 ; 15.7838 ; upResidualTimer ; 524.807 ; 6.2477 ; postSmoothTimer ; 1289.09 ; 15.3463 ; commTimer ; 1528.38 ; 1.61562 ; timeToSolveWatch ; 4292.2 ; 4292.2 ;
correctionTimer ; 217.687 ; 2.59151 ; setSolutionTimer ; 6.52293 ; 0.0776539 ; cycleWatch ; 4110.44 ; 293.603 ; setupWatch ; 48.0733 ; 48.0733 ; restrictionTimer ; 259.528 ; 3.08962 ; preSmoothTimer ; 1329.99 ; 15.8333 ; upResidualTimer ; 519.293 ; 6.18206 ; postSmoothTimer ; 1288.69 ; 15.3416 ; commTimer ; 1522.53 ; 1.60944 ; timeToSolveWatch ; 4292.2 ; 4292.2 ;
correctionTimer ; 217.439 ; 2.58857 ; setSolutionTimer ; 6.62218 ; 0.0788355 ; cycleWatch ; 4100.16 ; 292.868 ; setupWatch ; 48.1961 ; 48.1961 ; restrictionTimer ; 255.838 ; 3.04569 ; preSmoothTimer ; 1329.22 ; 15.824 ; upResidualTimer ; 523.604 ; 6.23338 ; postSmoothTimer ; 1288.32 ; 15.3371 ; commTimer ; 1523.14 ; 1.61008 ; timeToSolveWatch ; 4292.2 ; 4292.2 ;
correctionTimer ; 217.782 ; 2.59264 ; setSolutionTimer ; 6.59539 ; 0.0785166 ; cycleWatch ; 4093.11 ; 292.365 ; setupWatch ; 48.2697 ; 48.2697 ; restrictionTimer ; 262.214 ; 3.12159 ; preSmoothTimer ; 1329.26 ; 15.8245 ; upResidualTimer ; 517.091 ; 6.15584 ; postSmoothTimer ; 1293.09 ; 15.3939 ; commTimer ; 1522.27 ; 1.60917 ; timeToSolveWatch ; 4292.2 ; 4292.2 ;
