correctionTimer ; 139.905 ; 2.91468 ; setSolutionTimer ; 4.25274 ; 0.0885987 ; cycleWatch ; 5363.37 ; 670.422 ; setupWatch ; 32.8665 ; 32.8665 ; restrictionTimer ; 206.305 ; 4.29801 ; preSmoothTimer ; 2170.01 ; 45.2086 ; upResidualTimer ; 369.507 ; 7.69805 ; postSmoothTimer ; 2141.02 ; 44.6046 ; commTimer ; 1952.84 ; 2.34153 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 139.921 ; 2.91503 ; setSolutionTimer ; 3.85056 ; 0.08022 ; cycleWatch ; 5366.13 ; 670.767 ; setupWatch ; 32.7693 ; 32.7693 ; restrictionTimer ; 209.423 ; 4.36297 ; preSmoothTimer ; 2167.25 ; 45.1511 ; upResidualTimer ; 369.435 ; 7.69656 ; postSmoothTimer ; 2142.17 ; 44.6285 ; commTimer ; 1965.87 ; 2.35715 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 138.353 ; 2.88236 ; setSolutionTimer ; 4.40686 ; 0.0918096 ; cycleWatch ; 5358.29 ; 669.786 ; setupWatch ; 32.8821 ; 32.8821 ; restrictionTimer ; 215.499 ; 4.48956 ; preSmoothTimer ; 2161.47 ; 45.0306 ; upResidualTimer ; 368.446 ; 7.67595 ; postSmoothTimer ; 2136.08 ; 44.5016 ; commTimer ; 1974.45 ; 2.36745 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 166.051 ; 3.4594 ; setSolutionTimer ; 5.84328 ; 0.121735 ; cycleWatch ; 5372.03 ; 671.504 ; setupWatch ; 32.9047 ; 32.9047 ; restrictionTimer ; 203.15 ; 4.2323 ; preSmoothTimer ; 2168.02 ; 45.167 ; upResidualTimer ; 373.237 ; 7.77577 ; postSmoothTimer ; 2122.14 ; 44.2113 ; commTimer ; 1716.46 ; 2.05811 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 168.734 ; 3.51529 ; setSolutionTimer ; 5.92745 ; 0.123489 ; cycleWatch ; 5380.78 ; 672.597 ; setupWatch ; 32.7102 ; 32.7102 ; restrictionTimer ; 201.332 ; 4.19441 ; preSmoothTimer ; 2171.17 ; 45.2326 ; upResidualTimer ; 371.978 ; 7.74955 ; postSmoothTimer ; 2128.21 ; 44.3378 ; commTimer ; 1709.59 ; 2.04987 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 168.674 ; 3.51404 ; setSolutionTimer ; 5.96134 ; 0.124195 ; cycleWatch ; 5384.55 ; 673.069 ; setupWatch ; 32.8464 ; 32.8464 ; restrictionTimer ; 198.891 ; 4.14357 ; preSmoothTimer ; 2173.04 ; 45.2716 ; upResidualTimer ; 372.369 ; 7.75769 ; postSmoothTimer ; 2131.72 ; 44.4108 ; commTimer ; 1686.07 ; 2.02166 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 166.885 ; 3.47676 ; setSolutionTimer ; 5.982 ; 0.124625 ; cycleWatch ; 5379.97 ; 672.496 ; setupWatch ; 32.8782 ; 32.8782 ; restrictionTimer ; 203.657 ; 4.24285 ; preSmoothTimer ; 2169.08 ; 45.1891 ; upResidualTimer ; 371.367 ; 7.73682 ; postSmoothTimer ; 2129.88 ; 44.3725 ; commTimer ; 1680.68 ; 2.0152 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 166.859 ; 3.47623 ; setSolutionTimer ; 6.02577 ; 0.125537 ; cycleWatch ; 5379.44 ; 672.43 ; setupWatch ; 32.9765 ; 32.9765 ; restrictionTimer ; 196.644 ; 4.09675 ; preSmoothTimer ; 2173.72 ; 45.2858 ; upResidualTimer ; 374.065 ; 7.79302 ; postSmoothTimer ; 2127.84 ; 44.3301 ; commTimer ; 1688.14 ; 2.02414 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 169.548 ; 3.53226 ; setSolutionTimer ; 6.02244 ; 0.125467 ; cycleWatch ; 5385.71 ; 673.214 ; setupWatch ; 32.8918 ; 32.8918 ; restrictionTimer ; 199.693 ; 4.16026 ; preSmoothTimer ; 2171.84 ; 45.2466 ; upResidualTimer ; 373.079 ; 7.77247 ; postSmoothTimer ; 2132.25 ; 44.4219 ; commTimer ; 1677.04 ; 2.01084 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 169.501 ; 3.53126 ; setSolutionTimer ; 5.97489 ; 0.124477 ; cycleWatch ; 5390.07 ; 673.759 ; setupWatch ; 32.4832 ; 32.4832 ; restrictionTimer ; 200.136 ; 4.1695 ; preSmoothTimer ; 2171.43 ; 45.2381 ; upResidualTimer ; 372.937 ; 7.76953 ; postSmoothTimer ; 2135.97 ; 44.4993 ; commTimer ; 1662.46 ; 1.99335 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
