correctionTimer ; 115.83 ; 2.41313 ; setSolutionTimer ; 1.91885 ; 0.0399761 ; cycleWatch ; 3264.33 ; 408.041 ; setupWatch ; 42.6643 ; 42.6643 ; restrictionTimer ; 112.381 ; 2.34128 ; preSmoothTimer ; 1312.54 ; 27.3446 ; upResidualTimer ; 224.798 ; 4.68328 ; postSmoothTimer ; 1266.8 ; 26.3916 ; commTimer ; 1154.07 ; 1.38378 ; timeToSolveWatch ; 3390.11 ; 3390.11 ;
correctionTimer ; 119.252 ; 2.48441 ; setSolutionTimer ; 2.52916 ; 0.0526909 ; cycleWatch ; 3270.78 ; 408.847 ; setupWatch ; 41.8692 ; 41.8692 ; restrictionTimer ; 107.869 ; 2.24726 ; preSmoothTimer ; 1320.1 ; 27.5021 ; upResidualTimer ; 225.754 ; 4.7032 ; postSmoothTimer ; 1265.06 ; 26.3554 ; commTimer ; 1154.22 ; 1.38395 ; timeToSolveWatch ; 3389.69 ; 3389.69 ;
correctionTimer ; 119.478 ; 2.48913 ; setSolutionTimer ; 2.61486 ; 0.0544763 ; cycleWatch ; 3272.6 ; 409.075 ; setupWatch ; 30.9285 ; 30.9285 ; restrictionTimer ; 107.309 ; 2.2356 ; preSmoothTimer ; 1320.66 ; 27.5138 ; upResidualTimer ; 225.622 ; 4.70046 ; postSmoothTimer ; 1266.94 ; 26.3945 ; commTimer ; 1165.82 ; 1.39787 ; timeToSolveWatch ; 3389.69 ; 3389.69 ;
correctionTimer ; 119.504 ; 2.48966 ; setSolutionTimer ; 2.3546 ; 0.0490542 ; cycleWatch ; 3273.98 ; 409.248 ; setupWatch ; 23.7224 ; 23.7224 ; restrictionTimer ; 107.421 ; 2.23794 ; preSmoothTimer ; 1319.58 ; 27.4912 ; upResidualTimer ; 226.731 ; 4.72357 ; postSmoothTimer ; 1267.8 ; 26.4125 ; commTimer ; 1168.85 ; 1.4015 ; timeToSolveWatch ; 3389.69 ; 3389.69 ;
correctionTimer ; 119.467 ; 2.48889 ; setSolutionTimer ; 2.47351 ; 0.0515315 ; cycleWatch ; 3278.41 ; 409.802 ; setupWatch ; 14.8844 ; 14.8844 ; restrictionTimer ; 106.793 ; 2.22486 ; preSmoothTimer ; 1318.38 ; 27.4662 ; upResidualTimer ; 228.288 ; 4.756 ; postSmoothTimer ; 1268.7 ; 26.4313 ; commTimer ; 1176.5 ; 1.41067 ; timeToSolveWatch ; 3389.69 ; 3389.69 ;
correctionTimer ; 119.394 ; 2.48738 ; setSolutionTimer ; 2.38482 ; 0.0496837 ; cycleWatch ; 3278.58 ; 409.823 ; setupWatch ; 36.193 ; 36.193 ; restrictionTimer ; 107.718 ; 2.24413 ; preSmoothTimer ; 1317.82 ; 27.4546 ; upResidualTimer ; 227.978 ; 4.74954 ; postSmoothTimer ; 1268.34 ; 26.4238 ; commTimer ; 1159.82 ; 1.39067 ; timeToSolveWatch ; 3389.69 ; 3389.69 ;
correctionTimer ; 119.137 ; 2.48201 ; setSolutionTimer ; 2.55723 ; 0.0532756 ; cycleWatch ; 3273.42 ; 409.178 ; setupWatch ; 9.7327 ; 9.7327 ; restrictionTimer ; 106.639 ; 2.22165 ; preSmoothTimer ; 1315.79 ; 27.4123 ; upResidualTimer ; 230.748 ; 4.80725 ; postSmoothTimer ; 1268.3 ; 26.423 ; commTimer ; 1171.62 ; 1.40482 ; timeToSolveWatch ; 3389.69 ; 3389.69 ;
correctionTimer ; 116.955 ; 2.43657 ; setSolutionTimer ; 2.45601 ; 0.0511669 ; cycleWatch ; 3271.68 ; 408.96 ; setupWatch ; 41.1078 ; 41.1078 ; restrictionTimer ; 105.047 ; 2.18849 ; preSmoothTimer ; 1316.33 ; 27.4235 ; upResidualTimer ; 231.812 ; 4.82941 ; postSmoothTimer ; 1269.2 ; 26.4417 ; commTimer ; 1160.81 ; 1.39186 ; timeToSolveWatch ; 3389.69 ; 3389.69 ;
correctionTimer ; 117.621 ; 2.45045 ; setSolutionTimer ; 2.18596 ; 0.0455408 ; cycleWatch ; 3274.64 ; 409.33 ; setupWatch ; 30.4678 ; 30.4678 ; restrictionTimer ; 116.613 ; 2.42943 ; preSmoothTimer ; 1309.01 ; 27.271 ; upResidualTimer ; 228.64 ; 4.76333 ; postSmoothTimer ; 1271.67 ; 26.493 ; commTimer ; 1140.32 ; 1.36729 ; timeToSolveWatch ; 3389.69 ; 3389.69 ;
correctionTimer ; 121.184 ; 2.52467 ; setSolutionTimer ; 2.52564 ; 0.0526174 ; cycleWatch ; 3276.19 ; 409.524 ; setupWatch ; 23.1146 ; 23.1146 ; restrictionTimer ; 113.537 ; 2.36536 ; preSmoothTimer ; 1311.01 ; 27.3126 ; upResidualTimer ; 229.443 ; 4.78007 ; postSmoothTimer ; 1269.1 ; 26.4396 ; commTimer ; 1137.86 ; 1.36434 ; timeToSolveWatch ; 3389.69 ; 3389.69 ;
correctionTimer ; 121.425 ; 2.52969 ; setSolutionTimer ; 2.49998 ; 0.0520829 ; cycleWatch ; 3279.43 ; 409.928 ; setupWatch ; 32.9753 ; 32.9753 ; restrictionTimer ; 113.878 ; 2.37246 ; preSmoothTimer ; 1311.42 ; 27.3212 ; upResidualTimer ; 228.659 ; 4.76372 ; postSmoothTimer ; 1270.37 ; 26.466 ; commTimer ; 1139.46 ; 1.36626 ; timeToSolveWatch ; 3389.69 ; 3389.69 ;
