correctionTimer ; 169.106 ; 3.13159 ; setSolutionTimer ; 25.2725 ; 0.46801 ; cycleWatch ; 17081.8 ; 1897.98 ; setupWatch ; 98.1069 ; 98.1069 ; restrictionTimer ; 887.956 ; 16.4436 ; preSmoothTimer ; 4568.19 ; 84.5961 ; upResidualTimer ; 1559.77 ; 28.8846 ; postSmoothTimer ; 4579.94 ; 84.8136 ; commTimer ; 13774.8 ; 21.3894 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 166.595 ; 3.08509 ; setSolutionTimer ; 28.9089 ; 0.53535 ; cycleWatch ; 17080.9 ; 1897.88 ; setupWatch ; 98.8297 ; 98.8297 ; restrictionTimer ; 883.031 ; 16.3524 ; preSmoothTimer ; 4586.53 ; 84.9357 ; upResidualTimer ; 1554.35 ; 28.7843 ; postSmoothTimer ; 4571.81 ; 84.6631 ; commTimer ; 13792.7 ; 21.4172 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 168.253 ; 3.1158 ; setSolutionTimer ; 27.0827 ; 0.501531 ; cycleWatch ; 17067.4 ; 1896.38 ; setupWatch ; 99.8278 ; 99.8278 ; restrictionTimer ; 882.993 ; 16.3517 ; preSmoothTimer ; 4556.98 ; 84.3886 ; upResidualTimer ; 1571.18 ; 29.0959 ; postSmoothTimer ; 4546.49 ; 84.1942 ; commTimer ; 13507.4 ; 20.9743 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 166.36 ; 3.08073 ; setSolutionTimer ; 27.0182 ; 0.500337 ; cycleWatch ; 17073.2 ; 1897.02 ; setupWatch ; 97.0336 ; 97.0336 ; restrictionTimer ; 901.311 ; 16.6909 ; preSmoothTimer ; 4565.86 ; 84.5529 ; upResidualTimer ; 1536.51 ; 28.4539 ; postSmoothTimer ; 4568.28 ; 84.5978 ; commTimer ; 13676.3 ; 21.2365 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 169.94 ; 3.14703 ; setSolutionTimer ; 24.9682 ; 0.462374 ; cycleWatch ; 17085.2 ; 1898.36 ; setupWatch ; 98.2339 ; 98.2339 ; restrictionTimer ; 884.911 ; 16.3872 ; preSmoothTimer ; 4588.09 ; 84.9646 ; upResidualTimer ; 1550.87 ; 28.7198 ; postSmoothTimer ; 4578.87 ; 84.794 ; commTimer ; 13847.8 ; 21.5028 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 168.114 ; 3.11322 ; setSolutionTimer ; 28.9084 ; 0.53534 ; cycleWatch ; 17085.9 ; 1898.43 ; setupWatch ; 98.2434 ; 98.2434 ; restrictionTimer ; 888.729 ; 16.458 ; preSmoothTimer ; 4588.78 ; 84.9774 ; upResidualTimer ; 1547.01 ; 28.6484 ; postSmoothTimer ; 4579.08 ; 84.7977 ; commTimer ; 13805 ; 21.4363 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 167.37 ; 3.09945 ; setSolutionTimer ; 30.7709 ; 0.569831 ; cycleWatch ; 17067 ; 1896.34 ; setupWatch ; 103.126 ; 103.126 ; restrictionTimer ; 887.974 ; 16.444 ; preSmoothTimer ; 4566.6 ; 84.5666 ; upResidualTimer ; 1558.36 ; 28.8585 ; postSmoothTimer ; 4555.74 ; 84.3656 ; commTimer ; 13510.6 ; 20.9791 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 167.794 ; 3.10729 ; setSolutionTimer ; 26.4675 ; 0.490139 ; cycleWatch ; 17072.5 ; 1896.95 ; setupWatch ; 100.457 ; 100.457 ; restrictionTimer ; 887.14 ; 16.4285 ; preSmoothTimer ; 4573.19 ; 84.6887 ; upResidualTimer ; 1544.65 ; 28.6047 ; postSmoothTimer ; 4568.45 ; 84.601 ; commTimer ; 13634.6 ; 21.1718 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 168.369 ; 3.11795 ; setSolutionTimer ; 25.7235 ; 0.476361 ; cycleWatch ; 17084.2 ; 1898.25 ; setupWatch ; 102.576 ; 102.576 ; restrictionTimer ; 875.012 ; 16.2039 ; preSmoothTimer ; 4585.26 ; 84.9123 ; upResidualTimer ; 1559.98 ; 28.8885 ; postSmoothTimer ; 4582.9 ; 84.8686 ; commTimer ; 13813.3 ; 21.4493 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 165.762 ; 3.06967 ; setSolutionTimer ; 29.5741 ; 0.547669 ; cycleWatch ; 17079.8 ; 1897.76 ; setupWatch ; 94.8612 ; 94.8612 ; restrictionTimer ; 895.655 ; 16.5862 ; preSmoothTimer ; 4583.35 ; 84.8768 ; upResidualTimer ; 1544.29 ; 28.598 ; postSmoothTimer ; 4584.22 ; 84.893 ; commTimer ; 13830.4 ; 21.4757 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 168.064 ; 3.1123 ; setSolutionTimer ; 27.1239 ; 0.502294 ; cycleWatch ; 17059.3 ; 1895.47 ; setupWatch ; 99.8994 ; 99.8994 ; restrictionTimer ; 879.138 ; 16.2803 ; preSmoothTimer ; 4566.05 ; 84.5566 ; upResidualTimer ; 1567.7 ; 29.0315 ; postSmoothTimer ; 4563.15 ; 84.5028 ; commTimer ; 13545.7 ; 21.0337 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 169.326 ; 3.13566 ; setSolutionTimer ; 29.1219 ; 0.539294 ; cycleWatch ; 17071.9 ; 1896.88 ; setupWatch ; 96.2418 ; 96.2418 ; restrictionTimer ; 892.137 ; 16.5211 ; preSmoothTimer ; 4561.85 ; 84.4787 ; upResidualTimer ; 1561.08 ; 28.9088 ; postSmoothTimer ; 4563.81 ; 84.515 ; commTimer ; 13629 ; 21.1631 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 167.214 ; 3.09655 ; setSolutionTimer ; 26.0931 ; 0.483206 ; cycleWatch ; 17082.9 ; 1898.1 ; setupWatch ; 98.5065 ; 98.5065 ; restrictionTimer ; 880.329 ; 16.3024 ; preSmoothTimer ; 4588.69 ; 84.9758 ; upResidualTimer ; 1557.06 ; 28.8344 ; postSmoothTimer ; 4576.4 ; 84.7481 ; commTimer ; 13823.8 ; 21.4655 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 167.681 ; 3.1052 ; setSolutionTimer ; 27.5651 ; 0.510465 ; cycleWatch ; 17092.4 ; 1899.16 ; setupWatch ; 95.5357 ; 95.5357 ; restrictionTimer ; 874.788 ; 16.1998 ; preSmoothTimer ; 4593.14 ; 85.0581 ; upResidualTimer ; 1558.67 ; 28.8642 ; postSmoothTimer ; 4576.45 ; 84.7491 ; commTimer ; 13837.3 ; 21.4865 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 167.426 ; 3.10048 ; setSolutionTimer ; 28.3603 ; 0.525192 ; cycleWatch ; 17073.9 ; 1897.09 ; setupWatch ; 95.3418 ; 95.3418 ; restrictionTimer ; 876.602 ; 16.2334 ; preSmoothTimer ; 4583.59 ; 84.8812 ; upResidualTimer ; 1553.89 ; 28.7757 ; postSmoothTimer ; 4559.58 ; 84.4367 ; commTimer ; 13581.4 ; 21.0891 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 168.59 ; 3.12204 ; setSolutionTimer ; 28.305 ; 0.524166 ; cycleWatch ; 17076.7 ; 1897.41 ; setupWatch ; 101.952 ; 101.952 ; restrictionTimer ; 897.866 ; 16.6271 ; preSmoothTimer ; 4562.51 ; 84.491 ; upResidualTimer ; 1556.05 ; 28.8158 ; postSmoothTimer ; 4561.16 ; 84.466 ; commTimer ; 13700 ; 21.2732 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 168.885 ; 3.1275 ; setSolutionTimer ; 27.8395 ; 0.515547 ; cycleWatch ; 17088.9 ; 1898.77 ; setupWatch ; 97.2772 ; 97.2772 ; restrictionTimer ; 881.009 ; 16.315 ; preSmoothTimer ; 4586.04 ; 84.9267 ; upResidualTimer ; 1562.15 ; 28.9287 ; postSmoothTimer ; 4572.73 ; 84.6802 ; commTimer ; 13827.9 ; 21.4719 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 171.08 ; 3.16815 ; setSolutionTimer ; 25.192 ; 0.466518 ; cycleWatch ; 17095.5 ; 1899.5 ; setupWatch ; 97.6628 ; 97.6628 ; restrictionTimer ; 887.724 ; 16.4393 ; preSmoothTimer ; 4590.5 ; 85.0093 ; upResidualTimer ; 1555.58 ; 28.8071 ; postSmoothTimer ; 4578.56 ; 84.7881 ; commTimer ; 13842.2 ; 21.4941 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 170.993 ; 3.16654 ; setSolutionTimer ; 27.9599 ; 0.517776 ; cycleWatch ; 17087.3 ; 1898.59 ; setupWatch ; 96.5171 ; 96.5171 ; restrictionTimer ; 892.356 ; 16.5251 ; preSmoothTimer ; 4584.39 ; 84.8962 ; upResidualTimer ; 1551.27 ; 28.7272 ; postSmoothTimer ; 4562.13 ; 84.484 ; commTimer ; 13588.5 ; 21.1001 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 169.573 ; 3.14024 ; setSolutionTimer ; 27.5296 ; 0.509808 ; cycleWatch ; 17082.2 ; 1898.02 ; setupWatch ; 98.8878 ; 98.8878 ; restrictionTimer ; 908.892 ; 16.8313 ; preSmoothTimer ; 4551.05 ; 84.2787 ; upResidualTimer ; 1559.41 ; 28.878 ; postSmoothTimer ; 4573.37 ; 84.6921 ; commTimer ; 13689.1 ; 21.2564 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 169.156 ; 3.13253 ; setSolutionTimer ; 29.2063 ; 0.540858 ; cycleWatch ; 17093.1 ; 1899.23 ; setupWatch ; 96.4923 ; 96.4923 ; restrictionTimer ; 896.715 ; 16.6058 ; preSmoothTimer ; 4571.61 ; 84.6594 ; upResidualTimer ; 1558.97 ; 28.8698 ; postSmoothTimer ; 4583.47 ; 84.8791 ; commTimer ; 13820.6 ; 21.4605 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
