correctionTimer ; 148.754 ; 3.09905 ; setSolutionTimer ; 21.9941 ; 0.45821 ; cycleWatch ; 21824.8 ; 2728.1 ; setupWatch ; 94.4559 ; 94.4559 ; restrictionTimer ; 767.519 ; 15.99 ; preSmoothTimer ; 7755.32 ; 161.569 ; upResidualTimer ; 1321.44 ; 27.5301 ; postSmoothTimer ; 7783.52 ; 162.157 ; commTimer ; 18071.1 ; 21.668 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 147.467 ; 3.07223 ; setSolutionTimer ; 21.8912 ; 0.456067 ; cycleWatch ; 21811 ; 2726.37 ; setupWatch ; 99.4817 ; 99.4817 ; restrictionTimer ; 759.94 ; 15.8321 ; preSmoothTimer ; 7752.39 ; 161.508 ; upResidualTimer ; 1318.44 ; 27.4676 ; postSmoothTimer ; 7767.87 ; 161.831 ; commTimer ; 17843 ; 21.3944 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 146.719 ; 3.05664 ; setSolutionTimer ; 21.3025 ; 0.443802 ; cycleWatch ; 21815.2 ; 2726.91 ; setupWatch ; 96.5677 ; 96.5677 ; restrictionTimer ; 766.496 ; 15.9687 ; preSmoothTimer ; 7756.54 ; 161.595 ; upResidualTimer ; 1314.45 ; 27.3844 ; postSmoothTimer ; 7774.01 ; 161.958 ; commTimer ; 17866.8 ; 21.423 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 147.965 ; 3.08259 ; setSolutionTimer ; 22.5105 ; 0.468968 ; cycleWatch ; 21832 ; 2729 ; setupWatch ; 101.856 ; 101.856 ; restrictionTimer ; 776.256 ; 16.172 ; preSmoothTimer ; 7745.35 ; 161.361 ; upResidualTimer ; 1320.2 ; 27.5041 ; postSmoothTimer ; 7780.38 ; 162.091 ; commTimer ; 17881.5 ; 21.4407 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 148.971 ; 3.10356 ; setSolutionTimer ; 19.7907 ; 0.412306 ; cycleWatch ; 21827.1 ; 2728.39 ; setupWatch ; 98.7519 ; 98.7519 ; restrictionTimer ; 751.364 ; 15.6534 ; preSmoothTimer ; 7761.58 ; 161.7 ; upResidualTimer ; 1331.77 ; 27.7453 ; postSmoothTimer ; 7782.71 ; 162.14 ; commTimer ; 17882 ; 21.4412 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 148.055 ; 3.08448 ; setSolutionTimer ; 21.2111 ; 0.441897 ; cycleWatch ; 21840.6 ; 2730.08 ; setupWatch ; 102.225 ; 102.225 ; restrictionTimer ; 776.865 ; 16.1847 ; preSmoothTimer ; 7752.71 ; 161.515 ; upResidualTimer ; 1329.1 ; 27.6895 ; postSmoothTimer ; 7796.65 ; 162.43 ; commTimer ; 18138.3 ; 21.7486 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 150.095 ; 3.12698 ; setSolutionTimer ; 22.7712 ; 0.4744 ; cycleWatch ; 21844.6 ; 2730.57 ; setupWatch ; 95.9572 ; 95.9572 ; restrictionTimer ; 753.979 ; 15.7079 ; preSmoothTimer ; 7748.78 ; 161.433 ; upResidualTimer ; 1353.6 ; 28.1999 ; postSmoothTimer ; 7793.18 ; 162.358 ; commTimer ; 18130.4 ; 21.739 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 147.202 ; 3.0667 ; setSolutionTimer ; 18.8136 ; 0.391951 ; cycleWatch ; 21833.3 ; 2729.17 ; setupWatch ; 96.3383 ; 96.3383 ; restrictionTimer ; 762.978 ; 15.8954 ; preSmoothTimer ; 7767.8 ; 161.829 ; upResidualTimer ; 1330.3 ; 27.7147 ; postSmoothTimer ; 7792.8 ; 162.35 ; commTimer ; 18132.4 ; 21.7415 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 148.014 ; 3.08363 ; setSolutionTimer ; 20.4557 ; 0.426161 ; cycleWatch ; 21832 ; 2729 ; setupWatch ; 97.8981 ; 97.8981 ; restrictionTimer ; 756.136 ; 15.7528 ; preSmoothTimer ; 7755.7 ; 161.577 ; upResidualTimer ; 1355.98 ; 28.2497 ; postSmoothTimer ; 7792.5 ; 162.344 ; commTimer ; 18154.3 ; 21.7678 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 145.909 ; 3.03978 ; setSolutionTimer ; 20.4255 ; 0.425531 ; cycleWatch ; 21816.5 ; 2727.06 ; setupWatch ; 101.592 ; 101.592 ; restrictionTimer ; 750 ; 15.625 ; preSmoothTimer ; 7767.72 ; 161.828 ; upResidualTimer ; 1335.97 ; 27.8327 ; postSmoothTimer ; 7779.71 ; 162.077 ; commTimer ; 17941.5 ; 21.5125 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
