correctionTimer ; 133.145 ; 2.77385 ; setSolutionTimer ; 4.09704 ; 0.085355 ; cycleWatch ; 4594.43 ; 574.303 ; setupWatch ; 33.4059 ; 33.4059 ; restrictionTimer ; 146.575 ; 3.05365 ; preSmoothTimer ; 1859.29 ; 38.7353 ; upResidualTimer ; 327.943 ; 6.83214 ; postSmoothTimer ; 1817.2 ; 37.8582 ; commTimer ; 1435.9 ; 1.7217 ; timeToSolveWatch ; 4733.35 ; 4733.35 ;
correctionTimer ; 136.872 ; 2.85151 ; setSolutionTimer ; 3.92757 ; 0.0818245 ; cycleWatch ; 4610.58 ; 576.323 ; setupWatch ; 33.4068 ; 33.4068 ; restrictionTimer ; 140.047 ; 2.91765 ; preSmoothTimer ; 1869.44 ; 38.9467 ; upResidualTimer ; 329.004 ; 6.85425 ; postSmoothTimer ; 1820.5 ; 37.9272 ; commTimer ; 1389.85 ; 1.66648 ; timeToSolveWatch ; 4732.96 ; 4732.96 ;
correctionTimer ; 136.97 ; 2.85354 ; setSolutionTimer ; 3.74423 ; 0.0780048 ; cycleWatch ; 4616.73 ; 577.092 ; setupWatch ; 33.2922 ; 33.2922 ; restrictionTimer ; 140.195 ; 2.92072 ; preSmoothTimer ; 1879.89 ; 39.1644 ; upResidualTimer ; 318.608 ; 6.63766 ; postSmoothTimer ; 1832.8 ; 38.1833 ; commTimer ; 1352.18 ; 1.62131 ; timeToSolveWatch ; 4732.96 ; 4732.96 ;
correctionTimer ; 136.984 ; 2.85383 ; setSolutionTimer ; 3.43186 ; 0.0714971 ; cycleWatch ; 4625.23 ; 578.154 ; setupWatch ; 32.0507 ; 32.0507 ; restrictionTimer ; 142.939 ; 2.97789 ; preSmoothTimer ; 1876.78 ; 39.0996 ; upResidualTimer ; 319.387 ; 6.6539 ; postSmoothTimer ; 1837.76 ; 38.2867 ; commTimer ; 1349.23 ; 1.61779 ; timeToSolveWatch ; 4732.96 ; 4732.96 ;
correctionTimer ; 137.037 ; 2.85494 ; setSolutionTimer ; 3.41916 ; 0.0712324 ; cycleWatch ; 4635.99 ; 579.499 ; setupWatch ; 33.407 ; 33.407 ; restrictionTimer ; 139.053 ; 2.89695 ; preSmoothTimer ; 1876.8 ; 39.0999 ; upResidualTimer ; 323.359 ; 6.73665 ; postSmoothTimer ; 1842.97 ; 38.3952 ; commTimer ; 1360.98 ; 1.63187 ; timeToSolveWatch ; 4732.96 ; 4732.96 ;
correctionTimer ; 136.994 ; 2.85404 ; setSolutionTimer ; 3.34841 ; 0.0697586 ; cycleWatch ; 4640.93 ; 580.116 ; setupWatch ; 32.1543 ; 32.1543 ; restrictionTimer ; 140.1 ; 2.91874 ; preSmoothTimer ; 1877 ; 39.1042 ; upResidualTimer ; 322.309 ; 6.71476 ; postSmoothTimer ; 1846.24 ; 38.4634 ; commTimer ; 1373.27 ; 1.64661 ; timeToSolveWatch ; 4732.96 ; 4732.96 ;
correctionTimer ; 137.066 ; 2.85555 ; setSolutionTimer ; 3.32196 ; 0.0692074 ; cycleWatch ; 4645.23 ; 580.654 ; setupWatch ; 33.4342 ; 33.4342 ; restrictionTimer ; 140.082 ; 2.91838 ; preSmoothTimer ; 1877.08 ; 39.1059 ; upResidualTimer ; 322.371 ; 6.71607 ; postSmoothTimer ; 1849.21 ; 38.5253 ; commTimer ; 1400.59 ; 1.67936 ; timeToSolveWatch ; 4732.96 ; 4732.96 ;
correctionTimer ; 133.91 ; 2.78979 ; setSolutionTimer ; 3.01843 ; 0.062884 ; cycleWatch ; 4639.79 ; 579.974 ; setupWatch ; 32.1622 ; 32.1622 ; restrictionTimer ; 143.629 ; 2.99226 ; preSmoothTimer ; 1874.69 ; 39.056 ; upResidualTimer ; 321.408 ; 6.696 ; postSmoothTimer ; 1849.11 ; 38.523 ; commTimer ; 1401.42 ; 1.68036 ; timeToSolveWatch ; 4732.96 ; 4732.96 ;
correctionTimer ; 133.732 ; 2.78608 ; setSolutionTimer ; 4.21009 ; 0.0877101 ; cycleWatch ; 4600.63 ; 575.079 ; setupWatch ; 33.3941 ; 33.3941 ; restrictionTimer ; 143.749 ; 2.99476 ; preSmoothTimer ; 1866.56 ; 38.8866 ; upResidualTimer ; 327.935 ; 6.83199 ; postSmoothTimer ; 1818.45 ; 37.8844 ; commTimer ; 1438.98 ; 1.72539 ; timeToSolveWatch ; 4732.96 ; 4732.96 ;
correctionTimer ; 137.49 ; 2.86437 ; setSolutionTimer ; 3.92794 ; 0.0818321 ; cycleWatch ; 4612.58 ; 576.573 ; setupWatch ; 33.4159 ; 33.4159 ; restrictionTimer ; 140.841 ; 2.93418 ; preSmoothTimer ; 1870.67 ; 38.9724 ; upResidualTimer ; 327.205 ; 6.81677 ; postSmoothTimer ; 1821.81 ; 37.9544 ; commTimer ; 1389.88 ; 1.66652 ; timeToSolveWatch ; 4732.96 ; 4732.96 ;
correctionTimer ; 137.569 ; 2.86603 ; setSolutionTimer ; 3.73379 ; 0.0777873 ; cycleWatch ; 4618.12 ; 577.264 ; setupWatch ; 31.9389 ; 31.9389 ; restrictionTimer ; 139.111 ; 2.89815 ; preSmoothTimer ; 1882.31 ; 39.2148 ; upResidualTimer ; 317.535 ; 6.61532 ; postSmoothTimer ; 1832.8 ; 38.1833 ; commTimer ; 1352.25 ; 1.62141 ; timeToSolveWatch ; 4732.96 ; 4732.96 ;
