correctionTimer ; 234.939 ; 2.7969 ; setSolutionTimer ; 6.55588 ; 0.0780462 ; cycleWatch ; 4831.56 ; 345.111 ; setupWatch ; 41.5138 ; 41.5138 ; restrictionTimer ; 254.9 ; 3.03453 ; preSmoothTimer ; 1625.25 ; 19.3482 ; upResidualTimer ; 590.527 ; 7.03008 ; postSmoothTimer ; 1588.19 ; 18.9071 ; commTimer ; 1423.02 ; 1.50425 ; timeToSolveWatch ; 4984.4 ; 4984.4 ;
correctionTimer ; 238.977 ; 2.84497 ; setSolutionTimer ; 6.41149 ; 0.0763273 ; cycleWatch ; 4836.77 ; 345.483 ; setupWatch ; 43.7868 ; 43.7868 ; restrictionTimer ; 285.927 ; 3.4039 ; preSmoothTimer ; 1599.73 ; 19.0444 ; upResidualTimer ; 593.356 ; 7.06376 ; postSmoothTimer ; 1584.36 ; 18.8614 ; commTimer ; 1408.24 ; 1.48863 ; timeToSolveWatch ; 4983.96 ; 4983.96 ;
correctionTimer ; 238.92 ; 2.84428 ; setSolutionTimer ; 6.49076 ; 0.077271 ; cycleWatch ; 4848.08 ; 346.292 ; setupWatch ; 42.8702 ; 42.8702 ; restrictionTimer ; 271.585 ; 3.23315 ; preSmoothTimer ; 1607.3 ; 19.1345 ; upResidualTimer ; 600.074 ; 7.14374 ; postSmoothTimer ; 1586.22 ; 18.8835 ; commTimer ; 1418.22 ; 1.49918 ; timeToSolveWatch ; 4983.96 ; 4983.96 ;
correctionTimer ; 236.464 ; 2.81505 ; setSolutionTimer ; 6.28347 ; 0.0748032 ; cycleWatch ; 4835.89 ; 345.421 ; setupWatch ; 41.1723 ; 41.1723 ; restrictionTimer ; 296.841 ; 3.53383 ; preSmoothTimer ; 1581.1 ; 18.8226 ; upResidualTimer ; 600.94 ; 7.15405 ; postSmoothTimer ; 1584.47 ; 18.8627 ; commTimer ; 1416.92 ; 1.4978 ; timeToSolveWatch ; 4983.96 ; 4983.96 ;
correctionTimer ; 239.069 ; 2.84606 ; setSolutionTimer ; 6.63626 ; 0.0790031 ; cycleWatch ; 4851.07 ; 346.505 ; setupWatch ; 43.1056 ; 43.1056 ; restrictionTimer ; 249.887 ; 2.97484 ; preSmoothTimer ; 1636.9 ; 19.4869 ; upResidualTimer ; 592.281 ; 7.05097 ; postSmoothTimer ; 1596.89 ; 19.0106 ; commTimer ; 1377.57 ; 1.4562 ; timeToSolveWatch ; 4983.96 ; 4983.96 ;
correctionTimer ; 243.232 ; 2.89561 ; setSolutionTimer ; 6.46521 ; 0.0769668 ; cycleWatch ; 4847.84 ; 346.275 ; setupWatch ; 43.8595 ; 43.8595 ; restrictionTimer ; 281.224 ; 3.34791 ; preSmoothTimer ; 1604.03 ; 19.0956 ; upResidualTimer ; 594.229 ; 7.07416 ; postSmoothTimer ; 1592.8 ; 18.9619 ; commTimer ; 1356 ; 1.43341 ; timeToSolveWatch ; 4983.96 ; 4983.96 ;
correctionTimer ; 243.225 ; 2.89553 ; setSolutionTimer ; 6.6216 ; 0.0788286 ; cycleWatch ; 4861.19 ; 347.228 ; setupWatch ; 42.9345 ; 42.9345 ; restrictionTimer ; 266.057 ; 3.16734 ; preSmoothTimer ; 1612.25 ; 19.1934 ; upResidualTimer ; 601.024 ; 7.15504 ; postSmoothTimer ; 1594.93 ; 18.9872 ; commTimer ; 1367.11 ; 1.44515 ; timeToSolveWatch ; 4983.96 ; 4983.96 ;
correctionTimer ; 240.667 ; 2.86509 ; setSolutionTimer ; 6.29755 ; 0.0749709 ; cycleWatch ; 4849.45 ; 346.389 ; setupWatch ; 39.9543 ; 39.9543 ; restrictionTimer ; 292.915 ; 3.48708 ; preSmoothTimer ; 1585.51 ; 18.8751 ; upResidualTimer ; 600.958 ; 7.15426 ; postSmoothTimer ; 1595.06 ; 18.9888 ; commTimer ; 1371.04 ; 1.4493 ; timeToSolveWatch ; 4983.96 ; 4983.96 ;
correctionTimer ; 239.084 ; 2.84624 ; setSolutionTimer ; 6.66566 ; 0.0793531 ; cycleWatch ; 4853.06 ; 346.647 ; setupWatch ; 43.933 ; 43.933 ; restrictionTimer ; 246.745 ; 2.93744 ; preSmoothTimer ; 1641.12 ; 19.5372 ; upResidualTimer ; 591.651 ; 7.04346 ; postSmoothTimer ; 1604.32 ; 19.0991 ; commTimer ; 1372.31 ; 1.45064 ; timeToSolveWatch ; 4983.96 ; 4983.96 ;
correctionTimer ; 243.183 ; 2.89504 ; setSolutionTimer ; 6.54358 ; 0.0778998 ; cycleWatch ; 4851.78 ; 346.556 ; setupWatch ; 43.9245 ; 43.9245 ; restrictionTimer ; 279.121 ; 3.32287 ; preSmoothTimer ; 1606.39 ; 19.1237 ; upResidualTimer ; 594.295 ; 7.07494 ; postSmoothTimer ; 1598.72 ; 19.0324 ; commTimer ; 1353.57 ; 1.43084 ; timeToSolveWatch ; 4983.96 ; 4983.96 ;
correctionTimer ; 243.161 ; 2.89477 ; setSolutionTimer ; 6.71914 ; 0.0799897 ; cycleWatch ; 4864.95 ; 347.497 ; setupWatch ; 41.7125 ; 41.7125 ; restrictionTimer ; 262.481 ; 3.12477 ; preSmoothTimer ; 1614.09 ; 19.2154 ; upResidualTimer ; 603.032 ; 7.17895 ; postSmoothTimer ; 1598.34 ; 19.0279 ; commTimer ; 1369.5 ; 1.44767 ; timeToSolveWatch ; 4983.96 ; 4983.96 ;
