correctionTimer ; 128.577 ; 2.6787 ; setSolutionTimer ; 3.70327 ; 0.0771515 ; cycleWatch ; 4762.05 ; 595.256 ; setupWatch ; 88.9319 ; 88.9319 ; restrictionTimer ; 173.099 ; 3.60623 ; preSmoothTimer ; 1878.2 ; 39.1293 ; upResidualTimer ; 326.519 ; 6.80248 ; postSmoothTimer ; 1852.83 ; 38.6007 ; commTimer ; 2425.7 ; 2.90851 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.557 ; 2.67827 ; setSolutionTimer ; 3.70723 ; 0.0772341 ; cycleWatch ; 4760.92 ; 595.115 ; setupWatch ; 89.1288 ; 89.1288 ; restrictionTimer ; 175.371 ; 3.65357 ; preSmoothTimer ; 1875.59 ; 39.0748 ; upResidualTimer ; 326.603 ; 6.80423 ; postSmoothTimer ; 1851.34 ; 38.5695 ; commTimer ; 2421.38 ; 2.90334 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 122.858 ; 2.55955 ; setSolutionTimer ; 3.23186 ; 0.0673305 ; cycleWatch ; 4760.88 ; 595.11 ; setupWatch ; 89.0953 ; 89.0953 ; restrictionTimer ; 171.829 ; 3.57977 ; preSmoothTimer ; 1876.4 ; 39.0916 ; upResidualTimer ; 329.742 ; 6.86963 ; postSmoothTimer ; 1851.58 ; 38.5746 ; commTimer ; 2421.64 ; 2.90365 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 122.725 ; 2.55676 ; setSolutionTimer ; 3.54287 ; 0.0738099 ; cycleWatch ; 4755.85 ; 594.482 ; setupWatch ; 89.2615 ; 89.2615 ; restrictionTimer ; 180.359 ; 3.75747 ; preSmoothTimer ; 1873.49 ; 39.0311 ; upResidualTimer ; 324.707 ; 6.76473 ; postSmoothTimer ; 1849.4 ; 38.5292 ; commTimer ; 2444.39 ; 2.93092 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.803 ; 2.6834 ; setSolutionTimer ; 3.7818 ; 0.0787874 ; cycleWatch ; 4759.9 ; 594.988 ; setupWatch ; 89.1214 ; 89.1214 ; restrictionTimer ; 176.894 ; 3.68529 ; preSmoothTimer ; 1876.59 ; 39.0955 ; upResidualTimer ; 324.816 ; 6.767 ; postSmoothTimer ; 1846.86 ; 38.4763 ; commTimer ; 2413.74 ; 2.89417 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.847 ; 2.68432 ; setSolutionTimer ; 3.8561 ; 0.0803354 ; cycleWatch ; 4758.51 ; 594.814 ; setupWatch ; 89.4314 ; 89.4314 ; restrictionTimer ; 180.809 ; 3.76686 ; preSmoothTimer ; 1871.91 ; 38.9981 ; upResidualTimer ; 326.027 ; 6.79222 ; postSmoothTimer ; 1845.66 ; 38.4513 ; commTimer ; 2426.98 ; 2.91005 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.804 ; 2.68342 ; setSolutionTimer ; 3.99967 ; 0.0833264 ; cycleWatch ; 4757.07 ; 594.633 ; setupWatch ; 88.5137 ; 88.5137 ; restrictionTimer ; 177.547 ; 3.69889 ; preSmoothTimer ; 1874.02 ; 39.0422 ; upResidualTimer ; 326.864 ; 6.80966 ; postSmoothTimer ; 1846.19 ; 38.4622 ; commTimer ; 2419.07 ; 2.90056 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.896 ; 2.68533 ; setSolutionTimer ; 3.85951 ; 0.0804065 ; cycleWatch ; 4758.04 ; 594.755 ; setupWatch ; 88.8361 ; 88.8361 ; restrictionTimer ; 177.212 ; 3.69191 ; preSmoothTimer ; 1875.33 ; 39.0694 ; upResidualTimer ; 326.216 ; 6.79616 ; postSmoothTimer ; 1845.56 ; 38.4493 ; commTimer ; 2425.83 ; 2.90866 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.881 ; 2.68501 ; setSolutionTimer ; 3.83283 ; 0.0798507 ; cycleWatch ; 4761.93 ; 595.241 ; setupWatch ; 89.8901 ; 89.8901 ; restrictionTimer ; 175.929 ; 3.66519 ; preSmoothTimer ; 1875.17 ; 39.066 ; upResidualTimer ; 327.488 ; 6.82267 ; postSmoothTimer ; 1847.63 ; 38.4923 ; commTimer ; 2428.48 ; 2.91185 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.856 ; 2.6845 ; setSolutionTimer ; 3.87855 ; 0.080803 ; cycleWatch ; 4762.72 ; 595.34 ; setupWatch ; 89.5368 ; 89.5368 ; restrictionTimer ; 176.38 ; 3.67458 ; preSmoothTimer ; 1873.76 ; 39.0367 ; upResidualTimer ; 328.653 ; 6.84694 ; postSmoothTimer ; 1849.4 ; 38.5291 ; commTimer ; 2431.54 ; 2.91552 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.877 ; 2.68494 ; setSolutionTimer ; 3.72504 ; 0.077605 ; cycleWatch ; 4764.86 ; 595.607 ; setupWatch ; 89.0307 ; 89.0307 ; restrictionTimer ; 173.338 ; 3.61121 ; preSmoothTimer ; 1874.52 ; 39.0525 ; upResidualTimer ; 330.867 ; 6.89306 ; postSmoothTimer ; 1851.57 ; 38.5743 ; commTimer ; 2435.9 ; 2.92075 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.96 ; 2.68667 ; setSolutionTimer ; 3.79427 ; 0.0790473 ; cycleWatch ; 4765.73 ; 595.716 ; setupWatch ; 88.7288 ; 88.7288 ; restrictionTimer ; 176.331 ; 3.67357 ; preSmoothTimer ; 1874.77 ; 39.0577 ; upResidualTimer ; 327.506 ; 6.82305 ; postSmoothTimer ; 1854.06 ; 38.6263 ; commTimer ; 2434.69 ; 2.9193 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.907 ; 2.68557 ; setSolutionTimer ; 3.74233 ; 0.0779653 ; cycleWatch ; 4766.72 ; 595.839 ; setupWatch ; 88.7801 ; 88.7801 ; restrictionTimer ; 174.236 ; 3.62992 ; preSmoothTimer ; 1876.6 ; 39.0958 ; upResidualTimer ; 327.689 ; 6.82686 ; postSmoothTimer ; 1853.58 ; 38.6163 ; commTimer ; 2435.53 ; 2.9203 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.83 ; 2.68396 ; setSolutionTimer ; 3.81202 ; 0.0794172 ; cycleWatch ; 4765.83 ; 595.728 ; setupWatch ; 88.7757 ; 88.7757 ; restrictionTimer ; 174.808 ; 3.64183 ; preSmoothTimer ; 1875.6 ; 39.075 ; upResidualTimer ; 327.954 ; 6.83238 ; postSmoothTimer ; 1852.79 ; 38.5998 ; commTimer ; 2432.72 ; 2.91693 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.848 ; 2.68433 ; setSolutionTimer ; 3.78274 ; 0.078807 ; cycleWatch ; 4766.14 ; 595.767 ; setupWatch ; 89.0897 ; 89.0897 ; restrictionTimer ; 174.842 ; 3.64254 ; preSmoothTimer ; 1875.38 ; 39.0703 ; upResidualTimer ; 328.23 ; 6.83813 ; postSmoothTimer ; 1852.66 ; 38.5971 ; commTimer ; 2436.63 ; 2.92162 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.804 ; 2.68341 ; setSolutionTimer ; 3.91808 ; 0.0816266 ; cycleWatch ; 4765.52 ; 595.69 ; setupWatch ; 88.4349 ; 88.4349 ; restrictionTimer ; 174.92 ; 3.64417 ; preSmoothTimer ; 1876.29 ; 39.0893 ; upResidualTimer ; 326.998 ; 6.81246 ; postSmoothTimer ; 1853 ; 38.6041 ; commTimer ; 2426.5 ; 2.90947 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.807 ; 2.68349 ; setSolutionTimer ; 4.04169 ; 0.0842019 ; cycleWatch ; 4764.55 ; 595.569 ; setupWatch ; 88.5711 ; 88.5711 ; restrictionTimer ; 176.509 ; 3.67727 ; preSmoothTimer ; 1876.12 ; 39.0859 ; upResidualTimer ; 325.434 ; 6.77988 ; postSmoothTimer ; 1852.84 ; 38.6008 ; commTimer ; 2424.55 ; 2.90714 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.816 ; 2.68367 ; setSolutionTimer ; 3.80171 ; 0.0792023 ; cycleWatch ; 4764.31 ; 595.539 ; setupWatch ; 89.0487 ; 89.0487 ; restrictionTimer ; 174.674 ; 3.63905 ; preSmoothTimer ; 1876.35 ; 39.0906 ; upResidualTimer ; 327.011 ; 6.81273 ; postSmoothTimer ; 1851.29 ; 38.5685 ; commTimer ; 2426.1 ; 2.90899 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
