correctionTimer ; 269.407 ; 3.20723 ; setSolutionTimer ; 50.4854 ; 0.601017 ; cycleWatch ; 21553.2 ; 1539.51 ; setupWatch ; 129.649 ; 129.649 ; restrictionTimer ; 1438.81 ; 17.1287 ; preSmoothTimer ; 4799.33 ; 57.1348 ; upResidualTimer ; 2564.91 ; 30.5346 ; postSmoothTimer ; 4793.03 ; 57.0599 ; commTimer ; 16419.4 ; 17.3567 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 269.057 ; 3.20306 ; setSolutionTimer ; 50.8522 ; 0.605383 ; cycleWatch ; 21541.4 ; 1538.67 ; setupWatch ; 130.019 ; 130.019 ; restrictionTimer ; 1453.98 ; 17.3093 ; preSmoothTimer ; 4789.58 ; 57.0188 ; upResidualTimer ; 2555.96 ; 30.4281 ; postSmoothTimer ; 4778.56 ; 56.8877 ; commTimer ; 16407.5 ; 17.3441 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 268.129 ; 3.19201 ; setSolutionTimer ; 47.7561 ; 0.568525 ; cycleWatch ; 21520.6 ; 1537.18 ; setupWatch ; 130.865 ; 130.865 ; restrictionTimer ; 1429.84 ; 17.0219 ; preSmoothTimer ; 4783.42 ; 56.9455 ; upResidualTimer ; 2570.26 ; 30.5984 ; postSmoothTimer ; 4753.55 ; 56.5899 ; commTimer ; 16071.6 ; 16.989 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 271.482 ; 3.23193 ; setSolutionTimer ; 53.0046 ; 0.631007 ; cycleWatch ; 21535.9 ; 1538.28 ; setupWatch ; 127.659 ; 127.659 ; restrictionTimer ; 1453.34 ; 17.3017 ; preSmoothTimer ; 4797.7 ; 57.1155 ; upResidualTimer ; 2552.86 ; 30.3912 ; postSmoothTimer ; 4788.12 ; 57.0014 ; commTimer ; 16116.6 ; 17.0365 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 272.656 ; 3.24591 ; setSolutionTimer ; 50.1578 ; 0.597116 ; cycleWatch ; 21561.6 ; 1540.11 ; setupWatch ; 131.116 ; 131.116 ; restrictionTimer ; 1441.66 ; 17.1626 ; preSmoothTimer ; 4802.21 ; 57.1692 ; upResidualTimer ; 2576.95 ; 30.6779 ; postSmoothTimer ; 4801.78 ; 57.164 ; commTimer ; 16407 ; 17.3436 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 266.847 ; 3.17675 ; setSolutionTimer ; 48.6414 ; 0.579064 ; cycleWatch ; 21548.7 ; 1539.19 ; setupWatch ; 127.92 ; 127.92 ; restrictionTimer ; 1446.86 ; 17.2246 ; preSmoothTimer ; 4790.95 ; 57.0351 ; upResidualTimer ; 2571.19 ; 30.6094 ; postSmoothTimer ; 4787.61 ; 56.9954 ; commTimer ; 16441.8 ; 17.3804 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 268.644 ; 3.19815 ; setSolutionTimer ; 48.4517 ; 0.576806 ; cycleWatch ; 21531.9 ; 1537.99 ; setupWatch ; 128.594 ; 128.594 ; restrictionTimer ; 1441.24 ; 17.1576 ; preSmoothTimer ; 4804.09 ; 57.1915 ; upResidualTimer ; 2544.52 ; 30.2919 ; postSmoothTimer ; 4763.72 ; 56.711 ; commTimer ; 16102.4 ; 17.0216 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 269.623 ; 3.2098 ; setSolutionTimer ; 54.3243 ; 0.646718 ; cycleWatch ; 21532.1 ; 1538 ; setupWatch ; 128.789 ; 128.789 ; restrictionTimer ; 1441.57 ; 17.1615 ; preSmoothTimer ; 4817.78 ; 57.3545 ; upResidualTimer ; 2546.69 ; 30.3177 ; postSmoothTimer ; 4787.23 ; 56.9908 ; commTimer ; 16118.6 ; 17.0387 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 267.228 ; 3.18128 ; setSolutionTimer ; 50.4853 ; 0.601015 ; cycleWatch ; 21557.9 ; 1539.85 ; setupWatch ; 124.332 ; 124.332 ; restrictionTimer ; 1430.43 ; 17.0289 ; preSmoothTimer ; 4802.73 ; 57.1753 ; upResidualTimer ; 2592.46 ; 30.8627 ; postSmoothTimer ; 4808.8 ; 57.2476 ; commTimer ; 16400.3 ; 17.3365 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 271.711 ; 3.23465 ; setSolutionTimer ; 53.9167 ; 0.641865 ; cycleWatch ; 21540.2 ; 1538.58 ; setupWatch ; 126.364 ; 126.364 ; restrictionTimer ; 1428.67 ; 17.0079 ; preSmoothTimer ; 4797.4 ; 57.1119 ; upResidualTimer ; 2591.31 ; 30.8489 ; postSmoothTimer ; 4782.42 ; 56.9336 ; commTimer ; 16433 ; 17.371 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 267.497 ; 3.18449 ; setSolutionTimer ; 47.1327 ; 0.561104 ; cycleWatch ; 21528.8 ; 1537.77 ; setupWatch ; 129.916 ; 129.916 ; restrictionTimer ; 1434.18 ; 17.0736 ; preSmoothTimer ; 4816.41 ; 57.3382 ; upResidualTimer ; 2555.37 ; 30.421 ; postSmoothTimer ; 4770.89 ; 56.7963 ; commTimer ; 16078.3 ; 16.9961 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 268.381 ; 3.19501 ; setSolutionTimer ; 53.6154 ; 0.638278 ; cycleWatch ; 21534 ; 1538.14 ; setupWatch ; 127.6 ; 127.6 ; restrictionTimer ; 1451.79 ; 17.2832 ; preSmoothTimer ; 4802.83 ; 57.1765 ; upResidualTimer ; 2556.09 ; 30.4296 ; postSmoothTimer ; 4772.88 ; 56.82 ; commTimer ; 16179.1 ; 17.1027 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 272.48 ; 3.24381 ; setSolutionTimer ; 51.644 ; 0.614809 ; cycleWatch ; 21555.5 ; 1539.68 ; setupWatch ; 127.46 ; 127.46 ; restrictionTimer ; 1434.67 ; 17.0794 ; preSmoothTimer ; 4803.49 ; 57.1844 ; upResidualTimer ; 2588.8 ; 30.819 ; postSmoothTimer ; 4789.73 ; 57.0206 ; commTimer ; 16421.3 ; 17.3587 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 267.648 ; 3.18628 ; setSolutionTimer ; 47.5947 ; 0.566604 ; cycleWatch ; 21561.2 ; 1540.09 ; setupWatch ; 127.935 ; 127.935 ; restrictionTimer ; 1421.84 ; 16.9267 ; preSmoothTimer ; 4827.17 ; 57.4663 ; upResidualTimer ; 2583.23 ; 30.7528 ; postSmoothTimer ; 4800.12 ; 57.1443 ; commTimer ; 16421.4 ; 17.3587 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 269.715 ; 3.21089 ; setSolutionTimer ; 52.3665 ; 0.623411 ; cycleWatch ; 21526.2 ; 1537.59 ; setupWatch ; 132.351 ; 132.351 ; restrictionTimer ; 1437.66 ; 17.115 ; preSmoothTimer ; 4801.99 ; 57.1665 ; upResidualTimer ; 2576.74 ; 30.6755 ; postSmoothTimer ; 4774.56 ; 56.8399 ; commTimer ; 16081.2 ; 16.9991 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 269.529 ; 3.20868 ; setSolutionTimer ; 52.7012 ; 0.627396 ; cycleWatch ; 21543.4 ; 1538.81 ; setupWatch ; 127.309 ; 127.309 ; restrictionTimer ; 1437.4 ; 17.1119 ; preSmoothTimer ; 4831.85 ; 57.522 ; upResidualTimer ; 2551.16 ; 30.3709 ; postSmoothTimer ; 4777.13 ; 56.8706 ; commTimer ; 16248.1 ; 17.1756 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 267.624 ; 3.186 ; setSolutionTimer ; 53.4862 ; 0.63674 ; cycleWatch ; 21568.2 ; 1540.58 ; setupWatch ; 137.467 ; 137.467 ; restrictionTimer ; 1444.83 ; 17.2003 ; preSmoothTimer ; 4808.18 ; 57.2402 ; upResidualTimer ; 2581.41 ; 30.7311 ; postSmoothTimer ; 4807.57 ; 57.233 ; commTimer ; 16473.2 ; 17.4135 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 267.124 ; 3.18005 ; setSolutionTimer ; 53.4338 ; 0.636117 ; cycleWatch ; 21569.9 ; 1540.71 ; setupWatch ; 131.92 ; 131.92 ; restrictionTimer ; 1421.55 ; 16.9232 ; preSmoothTimer ; 4843.4 ; 57.6596 ; upResidualTimer ; 2568.76 ; 30.5805 ; postSmoothTimer ; 4803.96 ; 57.19 ; commTimer ; 16411.7 ; 17.3485 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 269.804 ; 3.21195 ; setSolutionTimer ; 53.8587 ; 0.641176 ; cycleWatch ; 21526.5 ; 1537.61 ; setupWatch ; 131.746 ; 131.746 ; restrictionTimer ; 1431.01 ; 17.0359 ; preSmoothTimer ; 4794.4 ; 57.0762 ; upResidualTimer ; 2592.88 ; 30.8676 ; postSmoothTimer ; 4771.3 ; 56.8012 ; commTimer ; 16060.4 ; 16.9771 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 270.163 ; 3.21623 ; setSolutionTimer ; 54.6417 ; 0.650497 ; cycleWatch ; 21555 ; 1539.64 ; setupWatch ; 124.124 ; 124.124 ; restrictionTimer ; 1446.48 ; 17.2201 ; preSmoothTimer ; 4822.26 ; 57.4079 ; upResidualTimer ; 2554.34 ; 30.4088 ; postSmoothTimer ; 4785.53 ; 56.9705 ; commTimer ; 16209.4 ; 17.1346 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 271.07 ; 3.22703 ; setSolutionTimer ; 52.9042 ; 0.629812 ; cycleWatch ; 21581.1 ; 1541.51 ; setupWatch ; 127.678 ; 127.678 ; restrictionTimer ; 1438.6 ; 17.1261 ; preSmoothTimer ; 4833.22 ; 57.5383 ; upResidualTimer ; 2571.07 ; 30.6079 ; postSmoothTimer ; 4810.04 ; 57.2624 ; commTimer ; 16462.3 ; 17.402 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 269.776 ; 3.21162 ; setSolutionTimer ; 49.3341 ; 0.58731 ; cycleWatch ; 21575.8 ; 1541.13 ; setupWatch ; 125.011 ; 125.011 ; restrictionTimer ; 1431.15 ; 17.0375 ; preSmoothTimer ; 4842.36 ; 57.6471 ; upResidualTimer ; 2569.65 ; 30.5911 ; postSmoothTimer ; 4798.64 ; 57.1267 ; commTimer ; 16467 ; 17.407 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 266.728 ; 3.17533 ; setSolutionTimer ; 45.4547 ; 0.541127 ; cycleWatch ; 21534.2 ; 1538.16 ; setupWatch ; 128.579 ; 128.579 ; restrictionTimer ; 1429.56 ; 17.0186 ; preSmoothTimer ; 4810.36 ; 57.2662 ; upResidualTimer ; 2583.51 ; 30.7561 ; postSmoothTimer ; 4765.2 ; 56.7286 ; commTimer ; 16126 ; 17.0465 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 269.404 ; 3.2072 ; setSolutionTimer ; 50.3983 ; 0.59998 ; cycleWatch ; 21556.7 ; 1539.76 ; setupWatch ; 130.625 ; 130.625 ; restrictionTimer ; 1450.88 ; 17.2724 ; preSmoothTimer ; 4832.24 ; 57.5266 ; upResidualTimer ; 2549.02 ; 30.3454 ; postSmoothTimer ; 4785.55 ; 56.9708 ; commTimer ; 16220.9 ; 17.1468 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 265.983 ; 3.16646 ; setSolutionTimer ; 50.8508 ; 0.605366 ; cycleWatch ; 21577.6 ; 1541.26 ; setupWatch ; 128.953 ; 128.953 ; restrictionTimer ; 1448.1 ; 17.2393 ; preSmoothTimer ; 4829.84 ; 57.4981 ; upResidualTimer ; 2571.87 ; 30.6174 ; postSmoothTimer ; 4806.01 ; 57.2145 ; commTimer ; 16466.7 ; 17.4067 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 268.068 ; 3.19129 ; setSolutionTimer ; 49.3225 ; 0.587173 ; cycleWatch ; 21567.4 ; 1540.53 ; setupWatch ; 128.667 ; 128.667 ; restrictionTimer ; 1448.66 ; 17.2459 ; preSmoothTimer ; 4831.13 ; 57.5135 ; upResidualTimer ; 2577.48 ; 30.6842 ; postSmoothTimer ; 4792.79 ; 57.057 ; commTimer ; 16431.1 ; 17.369 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 266.223 ; 3.16932 ; setSolutionTimer ; 49.6661 ; 0.591263 ; cycleWatch ; 21536.8 ; 1538.34 ; setupWatch ; 127.14 ; 127.14 ; restrictionTimer ; 1454.02 ; 17.3097 ; preSmoothTimer ; 4819.18 ; 57.3712 ; upResidualTimer ; 2562.06 ; 30.5008 ; postSmoothTimer ; 4761.6 ; 56.6857 ; commTimer ; 16127.7 ; 17.0483 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 270.735 ; 3.22304 ; setSolutionTimer ; 54.0757 ; 0.643759 ; cycleWatch ; 21564.7 ; 1540.34 ; setupWatch ; 126.779 ; 126.779 ; restrictionTimer ; 1449.8 ; 17.2596 ; preSmoothTimer ; 4818.73 ; 57.3659 ; upResidualTimer ; 2564.57 ; 30.5307 ; postSmoothTimer ; 4781.18 ; 56.9188 ; commTimer ; 16239.3 ; 17.1663 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 263.781 ; 3.14025 ; setSolutionTimer ; 49.6148 ; 0.590653 ; cycleWatch ; 21578 ; 1541.29 ; setupWatch ; 133.093 ; 133.093 ; restrictionTimer ; 1432.94 ; 17.0588 ; preSmoothTimer ; 4838.27 ; 57.5984 ; upResidualTimer ; 2578.16 ; 30.6924 ; postSmoothTimer ; 4805.33 ; 57.2063 ; commTimer ; 16468.2 ; 17.4082 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 268.357 ; 3.19472 ; setSolutionTimer ; 50.0935 ; 0.596351 ; cycleWatch ; 21566.2 ; 1540.44 ; setupWatch ; 128.546 ; 128.546 ; restrictionTimer ; 1442.78 ; 17.1759 ; preSmoothTimer ; 4838.1 ; 57.5964 ; upResidualTimer ; 2572.93 ; 30.6301 ; postSmoothTimer ; 4793.44 ; 57.0647 ; commTimer ; 16462.5 ; 17.4022 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 267.01 ; 3.17869 ; setSolutionTimer ; 52.6518 ; 0.626808 ; cycleWatch ; 21530.8 ; 1537.91 ; setupWatch ; 124.674 ; 124.674 ; restrictionTimer ; 1473.19 ; 17.5379 ; preSmoothTimer ; 4802.88 ; 57.1771 ; upResidualTimer ; 2564.62 ; 30.5312 ; postSmoothTimer ; 4761.15 ; 56.6803 ; commTimer ; 16122.4 ; 17.0428 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
