correctionTimer ; 149.591 ; 3.11647 ; setSolutionTimer ; 14.7929 ; 0.308186 ; cycleWatch ; 5785.46 ; 723.183 ; setupWatch ; 39.4622 ; 39.4622 ; restrictionTimer ; 232.468 ; 4.84308 ; preSmoothTimer ; 2341.42 ; 48.7796 ; upResidualTimer ; 397.424 ; 8.27966 ; postSmoothTimer ; 2313.25 ; 48.1928 ; commTimer ; 2909.56 ; 3.48869 ; timeToSolveWatch ; 5919.07 ; 5919.07 ;
correctionTimer ; 151.28 ; 3.15166 ; setSolutionTimer ; 15.6122 ; 0.325255 ; cycleWatch ; 5788.13 ; 723.516 ; setupWatch ; 38.2912 ; 38.2912 ; restrictionTimer ; 236.355 ; 4.92407 ; preSmoothTimer ; 2342.46 ; 48.8013 ; upResidualTimer ; 395.787 ; 8.24557 ; postSmoothTimer ; 2308.93 ; 48.1027 ; commTimer ; 2892.04 ; 3.46767 ; timeToSolveWatch ; 5918.65 ; 5918.65 ;
correctionTimer ; 150.644 ; 3.13842 ; setSolutionTimer ; 17.2967 ; 0.360347 ; cycleWatch ; 5800.77 ; 725.097 ; setupWatch ; 38.5142 ; 38.5142 ; restrictionTimer ; 235.709 ; 4.9106 ; preSmoothTimer ; 2341.57 ; 48.7827 ; upResidualTimer ; 395.925 ; 8.24844 ; postSmoothTimer ; 2320.67 ; 48.3473 ; commTimer ; 2911.88 ; 3.49146 ; timeToSolveWatch ; 5918.65 ; 5918.65 ;
correctionTimer ; 151.137 ; 3.14869 ; setSolutionTimer ; 17.1842 ; 0.358003 ; cycleWatch ; 5801.17 ; 725.146 ; setupWatch ; 38.7448 ; 38.7448 ; restrictionTimer ; 234.448 ; 4.88433 ; preSmoothTimer ; 2342.28 ; 48.7975 ; upResidualTimer ; 396.538 ; 8.2612 ; postSmoothTimer ; 2322.42 ; 48.3837 ; commTimer ; 2901.14 ; 3.47858 ; timeToSolveWatch ; 5918.65 ; 5918.65 ;
correctionTimer ; 150.118 ; 3.12745 ; setSolutionTimer ; 15.1052 ; 0.314691 ; cycleWatch ; 5799.44 ; 724.931 ; setupWatch ; 38.4153 ; 38.4153 ; restrictionTimer ; 235.186 ; 4.8997 ; preSmoothTimer ; 2345.49 ; 48.8643 ; upResidualTimer ; 394.68 ; 8.2225 ; postSmoothTimer ; 2320.34 ; 48.3404 ; commTimer ; 2915.68 ; 3.49602 ; timeToSolveWatch ; 5918.65 ; 5918.65 ;
correctionTimer ; 150.093 ; 3.12694 ; setSolutionTimer ; 14.8662 ; 0.309713 ; cycleWatch ; 5799.39 ; 724.924 ; setupWatch ; 38.5524 ; 38.5524 ; restrictionTimer ; 234.95 ; 4.89479 ; preSmoothTimer ; 2345.97 ; 48.8743 ; upResidualTimer ; 394.626 ; 8.22137 ; postSmoothTimer ; 2321.24 ; 48.3593 ; commTimer ; 2903.89 ; 3.48188 ; timeToSolveWatch ; 5918.65 ; 5918.65 ;
correctionTimer ; 147.672 ; 3.07649 ; setSolutionTimer ; 14.3506 ; 0.298971 ; cycleWatch ; 5795.78 ; 724.472 ; setupWatch ; 39.2094 ; 39.2094 ; restrictionTimer ; 234.44 ; 4.88417 ; preSmoothTimer ; 2344.84 ; 48.8509 ; upResidualTimer ; 396.644 ; 8.26343 ; postSmoothTimer ; 2316.76 ; 48.2658 ; commTimer ; 2929.98 ; 3.51316 ; timeToSolveWatch ; 5918.65 ; 5918.65 ;
correctionTimer ; 149.858 ; 3.12205 ; setSolutionTimer ; 15.7972 ; 0.329108 ; cycleWatch ; 5794.79 ; 724.349 ; setupWatch ; 38.9007 ; 38.9007 ; restrictionTimer ; 233.161 ; 4.85752 ; preSmoothTimer ; 2347.47 ; 48.9055 ; upResidualTimer ; 393.827 ; 8.20473 ; postSmoothTimer ; 2314.92 ; 48.2275 ; commTimer ; 2910.63 ; 3.48996 ; timeToSolveWatch ; 5918.65 ; 5918.65 ;
correctionTimer ; 197.604 ; 4.11675 ; setSolutionTimer ; 18.2062 ; 0.379296 ; cycleWatch ; 5842.49 ; 730.312 ; setupWatch ; 40.0415 ; 40.0415 ; restrictionTimer ; 211.795 ; 4.41239 ; preSmoothTimer ; 2355.3 ; 49.0688 ; upResidualTimer ; 405.238 ; 8.44245 ; postSmoothTimer ; 2307.1 ; 48.0645 ; commTimer ; 2351.51 ; 2.81955 ; timeToSolveWatch ; 5918.65 ; 5918.65 ;
correctionTimer ; 200.079 ; 4.16831 ; setSolutionTimer ; 18.55 ; 0.386458 ; cycleWatch ; 5841.24 ; 730.154 ; setupWatch ; 38.5227 ; 38.5227 ; restrictionTimer ; 212.809 ; 4.43351 ; preSmoothTimer ; 2354.29 ; 49.0478 ; upResidualTimer ; 404.829 ; 8.43394 ; postSmoothTimer ; 2306.73 ; 48.0568 ; commTimer ; 2333.72 ; 2.79822 ; timeToSolveWatch ; 5918.65 ; 5918.65 ;
correctionTimer ; 199.872 ; 4.16399 ; setSolutionTimer ; 16.1898 ; 0.337288 ; cycleWatch ; 5849.14 ; 731.143 ; setupWatch ; 38.747 ; 38.747 ; restrictionTimer ; 212.288 ; 4.42266 ; preSmoothTimer ; 2357.17 ; 49.1078 ; upResidualTimer ; 405.117 ; 8.43994 ; postSmoothTimer ; 2312.59 ; 48.179 ; commTimer ; 2345.82 ; 2.81273 ; timeToSolveWatch ; 5918.65 ; 5918.65 ;
