correctionTimer ; 134.193 ; 2.79569 ; setSolutionTimer ; 3.74395 ; 0.077999 ; cycleWatch ; 4384.63 ; 548.079 ; setupWatch ; 33.0275 ; 33.0275 ; restrictionTimer ; 151.923 ; 3.16507 ; preSmoothTimer ; 1744.24 ; 36.3384 ; upResidualTimer ; 325.665 ; 6.7847 ; postSmoothTimer ; 1719.12 ; 35.815 ; commTimer ; 1564.64 ; 1.87607 ; timeToSolveWatch ; 4481.81 ; 4481.81 ;
correctionTimer ; 136.534 ; 2.84446 ; setSolutionTimer ; 3.6969 ; 0.0770187 ; cycleWatch ; 4390.46 ; 548.808 ; setupWatch ; 31.8427 ; 31.8427 ; restrictionTimer ; 164.013 ; 3.41694 ; preSmoothTimer ; 1735.27 ; 36.1514 ; upResidualTimer ; 326.973 ; 6.81193 ; postSmoothTimer ; 1722.47 ; 35.8848 ; commTimer ; 1550.55 ; 1.85917 ; timeToSolveWatch ; 4481.32 ; 4481.32 ;
correctionTimer ; 136.558 ; 2.84496 ; setSolutionTimer ; 3.6951 ; 0.0769812 ; cycleWatch ; 4396.18 ; 549.523 ; setupWatch ; 28.7617 ; 28.7617 ; restrictionTimer ; 153.268 ; 3.19309 ; preSmoothTimer ; 1746.52 ; 36.3858 ; upResidualTimer ; 326.476 ; 6.80158 ; postSmoothTimer ; 1726.25 ; 35.9635 ; commTimer ; 1566.49 ; 1.87829 ; timeToSolveWatch ; 4481.32 ; 4481.32 ;
correctionTimer ; 135.176 ; 2.81617 ; setSolutionTimer ; 3.5162 ; 0.0732541 ; cycleWatch ; 4397.47 ; 549.684 ; setupWatch ; 33.028 ; 33.028 ; restrictionTimer ; 161.946 ; 3.37388 ; preSmoothTimer ; 1735.65 ; 36.1594 ; upResidualTimer ; 328.728 ; 6.84851 ; postSmoothTimer ; 1725.04 ; 35.9383 ; commTimer ; 1559.38 ; 1.86976 ; timeToSolveWatch ; 4481.32 ; 4481.32 ;
correctionTimer ; 136.602 ; 2.84588 ; setSolutionTimer ; 3.83104 ; 0.0798133 ; cycleWatch ; 4395.04 ; 549.38 ; setupWatch ; 33.0478 ; 33.0478 ; restrictionTimer ; 150.931 ; 3.14439 ; preSmoothTimer ; 1750.07 ; 36.4597 ; upResidualTimer ; 325.21 ; 6.7752 ; postSmoothTimer ; 1725.62 ; 35.9504 ; commTimer ; 1510.5 ; 1.81115 ; timeToSolveWatch ; 4481.32 ; 4481.32 ;
correctionTimer ; 138.988 ; 2.89559 ; setSolutionTimer ; 3.69267 ; 0.0769307 ; cycleWatch ; 4397.5 ; 549.688 ; setupWatch ; 28.5416 ; 28.5416 ; restrictionTimer ; 162.707 ; 3.38973 ; preSmoothTimer ; 1737.54 ; 36.1987 ; upResidualTimer ; 326.256 ; 6.79701 ; postSmoothTimer ; 1727.35 ; 35.9865 ; commTimer ; 1500.66 ; 1.79935 ; timeToSolveWatch ; 4481.32 ; 4481.32 ;
correctionTimer ; 138.971 ; 2.89523 ; setSolutionTimer ; 3.81679 ; 0.0795165 ; cycleWatch ; 4402.91 ; 550.363 ; setupWatch ; 31.3404 ; 31.3404 ; restrictionTimer ; 151.225 ; 3.15052 ; preSmoothTimer ; 1748.7 ; 36.4312 ; upResidualTimer ; 326.451 ; 6.80106 ; postSmoothTimer ; 1731.6 ; 36.0749 ; commTimer ; 1502.92 ; 1.80206 ; timeToSolveWatch ; 4481.32 ; 4481.32 ;
correctionTimer ; 137.559 ; 2.86582 ; setSolutionTimer ; 3.53564 ; 0.0736592 ; cycleWatch ; 4404.27 ; 550.534 ; setupWatch ; 32.9829 ; 32.9829 ; restrictionTimer ; 160.157 ; 3.33661 ; preSmoothTimer ; 1737.97 ; 36.2078 ; upResidualTimer ; 328.428 ; 6.84226 ; postSmoothTimer ; 1730.65 ; 36.0551 ; commTimer ; 1502.56 ; 1.80163 ; timeToSolveWatch ; 4481.32 ; 4481.32 ;
correctionTimer ; 136.556 ; 2.84492 ; setSolutionTimer ; 3.83172 ; 0.0798274 ; cycleWatch ; 4393.06 ; 549.132 ; setupWatch ; 33.087 ; 33.087 ; restrictionTimer ; 151.295 ; 3.15197 ; preSmoothTimer ; 1751.96 ; 36.4991 ; upResidualTimer ; 323.181 ; 6.73294 ; postSmoothTimer ; 1726.52 ; 35.9691 ; commTimer ; 1501.8 ; 1.80072 ; timeToSolveWatch ; 4481.32 ; 4481.32 ;
correctionTimer ; 139.008 ; 2.896 ; setSolutionTimer ; 3.72492 ; 0.0776025 ; cycleWatch ; 4398.93 ; 549.866 ; setupWatch ; 31.4841 ; 31.4841 ; restrictionTimer ; 161.035 ; 3.35489 ; preSmoothTimer ; 1739.63 ; 36.2424 ; upResidualTimer ; 326.016 ; 6.792 ; postSmoothTimer ; 1728.27 ; 36.0057 ; commTimer ; 1485.16 ; 1.78077 ; timeToSolveWatch ; 4481.32 ; 4481.32 ;
correctionTimer ; 138.997 ; 2.89577 ; setSolutionTimer ; 3.87159 ; 0.0806582 ; cycleWatch ; 4406.1 ; 550.762 ; setupWatch ; 32.9967 ; 32.9967 ; restrictionTimer ; 149.853 ; 3.12193 ; preSmoothTimer ; 1751.21 ; 36.4836 ; upResidualTimer ; 325.492 ; 6.78108 ; postSmoothTimer ; 1735.04 ; 36.1466 ; commTimer ; 1494.67 ; 1.79217 ; timeToSolveWatch ; 4481.32 ; 4481.32 ;
