correctionTimer ; 150.855 ; 3.14282 ; setSolutionTimer ; 22.3977 ; 0.466619 ; cycleWatch ; 19225.4 ; 2403.17 ; setupWatch ; 96.4151 ; 96.4151 ; restrictionTimer ; 635.135 ; 13.232 ; preSmoothTimer ; 6825.14 ; 142.19 ; upResidualTimer ; 1121.21 ; 23.3586 ; postSmoothTimer ; 6826.45 ; 142.218 ; commTimer ; 15380 ; 18.4413 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 145.467 ; 3.03056 ; setSolutionTimer ; 21.2848 ; 0.443433 ; cycleWatch ; 19210.1 ; 2401.27 ; setupWatch ; 100.281 ; 100.281 ; restrictionTimer ; 604.539 ; 12.5946 ; preSmoothTimer ; 6813.9 ; 141.956 ; upResidualTimer ; 1167.64 ; 24.3258 ; postSmoothTimer ; 6814.45 ; 141.968 ; commTimer ; 15363.4 ; 18.4213 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 146.709 ; 3.05644 ; setSolutionTimer ; 20.6572 ; 0.430358 ; cycleWatch ; 19188.7 ; 2398.59 ; setupWatch ; 99.2903 ; 99.2903 ; restrictionTimer ; 615.757 ; 12.8283 ; preSmoothTimer ; 6825.44 ; 142.197 ; upResidualTimer ; 1139.77 ; 23.7452 ; postSmoothTimer ; 6798.82 ; 141.642 ; commTimer ; 15217.3 ; 18.2462 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 145.596 ; 3.03324 ; setSolutionTimer ; 20.3995 ; 0.424991 ; cycleWatch ; 19200.8 ; 2400.1 ; setupWatch ; 97.8757 ; 97.8757 ; restrictionTimer ; 648.863 ; 13.518 ; preSmoothTimer ; 6748.22 ; 140.588 ; upResidualTimer ; 1147.89 ; 23.9144 ; postSmoothTimer ; 6809.03 ; 141.855 ; commTimer ; 15138.9 ; 18.1521 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 148.056 ; 3.0845 ; setSolutionTimer ; 19.5135 ; 0.406531 ; cycleWatch ; 19218.3 ; 2402.29 ; setupWatch ; 96.3384 ; 96.3384 ; restrictionTimer ; 662.701 ; 13.8063 ; preSmoothTimer ; 6751.51 ; 140.656 ; upResidualTimer ; 1150.09 ; 23.9602 ; postSmoothTimer ; 6816.81 ; 142.017 ; commTimer ; 15351.8 ; 18.4074 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 147.78 ; 3.07874 ; setSolutionTimer ; 19.202 ; 0.400042 ; cycleWatch ; 19234.6 ; 2404.33 ; setupWatch ; 97.4556 ; 97.4556 ; restrictionTimer ; 635.4 ; 13.2375 ; preSmoothTimer ; 6778.14 ; 141.211 ; upResidualTimer ; 1151.97 ; 23.9994 ; postSmoothTimer ; 6830.4 ; 142.3 ; commTimer ; 15416.5 ; 18.485 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 147.043 ; 3.0634 ; setSolutionTimer ; 21.5569 ; 0.449102 ; cycleWatch ; 19240.3 ; 2405.03 ; setupWatch ; 97.1376 ; 97.1376 ; restrictionTimer ; 660.69 ; 13.7644 ; preSmoothTimer ; 6775.33 ; 141.153 ; upResidualTimer ; 1146.09 ; 23.8769 ; postSmoothTimer ; 6839.06 ; 142.48 ; commTimer ; 15454.3 ; 18.5303 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 148.584 ; 3.09549 ; setSolutionTimer ; 21.2333 ; 0.44236 ; cycleWatch ; 19240.9 ; 2405.12 ; setupWatch ; 100.004 ; 100.004 ; restrictionTimer ; 605.849 ; 12.6219 ; preSmoothTimer ; 6800.43 ; 141.676 ; upResidualTimer ; 1177.74 ; 24.5363 ; postSmoothTimer ; 6844.55 ; 142.595 ; commTimer ; 15436.4 ; 18.5088 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 148.818 ; 3.10037 ; setSolutionTimer ; 21.9116 ; 0.456491 ; cycleWatch ; 19236.5 ; 2404.57 ; setupWatch ; 95.3387 ; 95.3387 ; restrictionTimer ; 638.202 ; 13.2959 ; preSmoothTimer ; 6820.56 ; 142.095 ; upResidualTimer ; 1126.83 ; 23.4757 ; postSmoothTimer ; 6835.47 ; 142.406 ; commTimer ; 15449.3 ; 18.5243 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 147.512 ; 3.07316 ; setSolutionTimer ; 20.452 ; 0.426084 ; cycleWatch ; 19224.6 ; 2403.07 ; setupWatch ; 97.0741 ; 97.0741 ; restrictionTimer ; 610.963 ; 12.7284 ; preSmoothTimer ; 6825.35 ; 142.195 ; upResidualTimer ; 1159.41 ; 24.1544 ; postSmoothTimer ; 6825.79 ; 142.204 ; commTimer ; 15417.6 ; 18.4863 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
