correctionTimer ; 132.654 ; 2.76364 ; setSolutionTimer ; 3.29667 ; 0.0686806 ; cycleWatch ; 4040.89 ; 505.111 ; setupWatch ; 33.681 ; 33.681 ; restrictionTimer ; 123.47 ; 2.5723 ; preSmoothTimer ; 1614.78 ; 33.6413 ; upResidualTimer ; 289.546 ; 6.03222 ; postSmoothTimer ; 1594.06 ; 33.2095 ; commTimer ; 1106.95 ; 1.32728 ; timeToSolveWatch ; 4170.33 ; 4170.33 ;
correctionTimer ; 136.431 ; 2.84231 ; setSolutionTimer ; 3.2507 ; 0.0677229 ; cycleWatch ; 4048.77 ; 506.097 ; setupWatch ; 33.6241 ; 33.6241 ; restrictionTimer ; 125.515 ; 2.61489 ; preSmoothTimer ; 1619.59 ; 33.7415 ; upResidualTimer ; 287.216 ; 5.98367 ; postSmoothTimer ; 1594.5 ; 33.2187 ; commTimer ; 1076.85 ; 1.29118 ; timeToSolveWatch ; 4169.92 ; 4169.92 ;
correctionTimer ; 136.413 ; 2.84193 ; setSolutionTimer ; 3.22115 ; 0.0671073 ; cycleWatch ; 4053.05 ; 506.632 ; setupWatch ; 33.7102 ; 33.7102 ; restrictionTimer ; 123.171 ; 2.56606 ; preSmoothTimer ; 1617.12 ; 33.69 ; upResidualTimer ; 292.008 ; 6.0835 ; postSmoothTimer ; 1595 ; 33.2291 ; commTimer ; 1083.91 ; 1.29965 ; timeToSolveWatch ; 4169.92 ; 4169.92 ;
correctionTimer ; 136.448 ; 2.84267 ; setSolutionTimer ; 3.20182 ; 0.0667045 ; cycleWatch ; 4058.14 ; 507.267 ; setupWatch ; 33.5179 ; 33.5179 ; restrictionTimer ; 120.527 ; 2.51098 ; preSmoothTimer ; 1619.36 ; 33.7366 ; upResidualTimer ; 292.417 ; 6.09202 ; postSmoothTimer ; 1599.62 ; 33.3254 ; commTimer ; 1063.89 ; 1.27564 ; timeToSolveWatch ; 4169.92 ; 4169.92 ;
correctionTimer ; 136.397 ; 2.8416 ; setSolutionTimer ; 3.19199 ; 0.0664998 ; cycleWatch ; 4061.42 ; 507.678 ; setupWatch ; 33.7335 ; 33.7335 ; restrictionTimer ; 119.666 ; 2.49303 ; preSmoothTimer ; 1618.4 ; 33.7166 ; upResidualTimer ; 294.25 ; 6.13021 ; postSmoothTimer ; 1601.12 ; 33.3566 ; commTimer ; 1076.87 ; 1.29122 ; timeToSolveWatch ; 4169.92 ; 4169.92 ;
correctionTimer ; 136.449 ; 2.84268 ; setSolutionTimer ; 3.14644 ; 0.0655509 ; cycleWatch ; 4063.59 ; 507.949 ; setupWatch ; 33.8099 ; 33.8099 ; restrictionTimer ; 117.534 ; 2.44863 ; preSmoothTimer ; 1620.37 ; 33.7577 ; upResidualTimer ; 294.449 ; 6.13435 ; postSmoothTimer ; 1602.55 ; 33.3865 ; commTimer ; 1068.88 ; 1.28163 ; timeToSolveWatch ; 4169.92 ; 4169.92 ;
correctionTimer ; 136.389 ; 2.84144 ; setSolutionTimer ; 3.19909 ; 0.0666477 ; cycleWatch ; 4061.52 ; 507.69 ; setupWatch ; 33.6108 ; 33.6108 ; restrictionTimer ; 119.164 ; 2.48259 ; preSmoothTimer ; 1618.88 ; 33.7266 ; upResidualTimer ; 294.27 ; 6.13063 ; postSmoothTimer ; 1602.68 ; 33.3891 ; commTimer ; 1081.44 ; 1.29669 ; timeToSolveWatch ; 4169.92 ; 4169.92 ;
correctionTimer ; 133.264 ; 2.77633 ; setSolutionTimer ; 2.91627 ; 0.0607556 ; cycleWatch ; 4056.91 ; 507.113 ; setupWatch ; 33.7984 ; 33.7984 ; restrictionTimer ; 117.717 ; 2.45244 ; preSmoothTimer ; 1619.95 ; 33.7489 ; upResidualTimer ; 294.802 ; 6.1417 ; postSmoothTimer ; 1602.88 ; 33.3932 ; commTimer ; 1093.83 ; 1.31155 ; timeToSolveWatch ; 4169.92 ; 4169.92 ;
correctionTimer ; 133.757 ; 2.78661 ; setSolutionTimer ; 3.02363 ; 0.0629922 ; cycleWatch ; 4049.01 ; 506.126 ; setupWatch ; 33.623 ; 33.623 ; restrictionTimer ; 121.385 ; 2.52884 ; preSmoothTimer ; 1621.57 ; 33.7827 ; upResidualTimer ; 289.843 ; 6.0384 ; postSmoothTimer ; 1598.53 ; 33.3027 ; commTimer ; 1072 ; 1.28537 ; timeToSolveWatch ; 4169.92 ; 4169.92 ;
correctionTimer ; 137.641 ; 2.86752 ; setSolutionTimer ; 3.2294 ; 0.0672792 ; cycleWatch ; 4055.57 ; 506.947 ; setupWatch ; 33.7957 ; 33.7957 ; restrictionTimer ; 120.559 ; 2.51164 ; preSmoothTimer ; 1621.61 ; 33.7835 ; upResidualTimer ; 290.544 ; 6.053 ; postSmoothTimer ; 1600.35 ; 33.3405 ; commTimer ; 1045.59 ; 1.25371 ; timeToSolveWatch ; 4169.92 ; 4169.92 ;
correctionTimer ; 137.591 ; 2.86648 ; setSolutionTimer ; 3.24779 ; 0.0676623 ; cycleWatch ; 4059.89 ; 507.486 ; setupWatch ; 33.5424 ; 33.5424 ; restrictionTimer ; 119.919 ; 2.49832 ; preSmoothTimer ; 1621.34 ; 33.7778 ; upResidualTimer ; 291.411 ; 6.07107 ; postSmoothTimer ; 1601.8 ; 33.3709 ; commTimer ; 1061.01 ; 1.2722 ; timeToSolveWatch ; 4169.92 ; 4169.92 ;
correctionTimer ; 137.607 ; 2.86681 ; setSolutionTimer ; 3.17051 ; 0.0660523 ; cycleWatch ; 4066.5 ; 508.313 ; setupWatch ; 33.6861 ; 33.6861 ; restrictionTimer ; 117.27 ; 2.44313 ; preSmoothTimer ; 1623.13 ; 33.8151 ; upResidualTimer ; 292.295 ; 6.08947 ; postSmoothTimer ; 1606.27 ; 33.4639 ; commTimer ; 1071.78 ; 1.28511 ; timeToSolveWatch ; 4169.92 ; 4169.92 ;
