correctionTimer ; 154.373 ; 2.85877 ; setSolutionTimer ; 4.85305 ; 0.0898713 ; cycleWatch ; 10777.7 ; 1197.52 ; setupWatch ; 33.3148 ; 33.3148 ; restrictionTimer ; 199.255 ; 3.6899 ; preSmoothTimer ; 4821.17 ; 89.281 ; upResidualTimer ; 410.438 ; 7.6007 ; postSmoothTimer ; 4799.01 ; 88.8705 ; commTimer ; 1262.34 ; 1.90111 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 157.232 ; 2.9117 ; setSolutionTimer ; 3.72922 ; 0.0690596 ; cycleWatch ; 10790.8 ; 1198.97 ; setupWatch ; 31.7974 ; 31.7974 ; restrictionTimer ; 209.751 ; 3.88428 ; preSmoothTimer ; 4818.35 ; 89.2288 ; upResidualTimer ; 404.049 ; 7.48238 ; postSmoothTimer ; 4813.85 ; 89.1454 ; commTimer ; 1220.51 ; 1.83811 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 157.202 ; 2.91114 ; setSolutionTimer ; 3.91954 ; 0.0725841 ; cycleWatch ; 10784.9 ; 1198.32 ; setupWatch ; 28.8724 ; 28.8724 ; restrictionTimer ; 196.218 ; 3.63366 ; preSmoothTimer ; 4830.63 ; 89.4562 ; upResidualTimer ; 405.149 ; 7.50275 ; postSmoothTimer ; 4811.11 ; 89.0947 ; commTimer ; 1219.29 ; 1.83628 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 155.593 ; 2.88136 ; setSolutionTimer ; 3.70245 ; 0.0685639 ; cycleWatch ; 10788.7 ; 1198.75 ; setupWatch ; 33.2417 ; 33.2417 ; restrictionTimer ; 201.507 ; 3.73162 ; preSmoothTimer ; 4825.36 ; 89.3584 ; upResidualTimer ; 405.234 ; 7.50434 ; postSmoothTimer ; 4815.69 ; 89.1795 ; commTimer ; 1210.76 ; 1.82343 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 185.309 ; 3.43165 ; setSolutionTimer ; 5.16573 ; 0.0956616 ; cycleWatch ; 10807.3 ; 1200.81 ; setupWatch ; 31.4379 ; 31.4379 ; restrictionTimer ; 185.972 ; 3.44392 ; preSmoothTimer ; 4832.29 ; 89.4868 ; upResidualTimer ; 412.565 ; 7.64009 ; postSmoothTimer ; 4797.35 ; 88.8399 ; commTimer ; 1040.34 ; 1.56678 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 188.585 ; 3.49231 ; setSolutionTimer ; 5.15596 ; 0.0954807 ; cycleWatch ; 10816.1 ; 1201.79 ; setupWatch ; 32.5354 ; 32.5354 ; restrictionTimer ; 195.215 ; 3.61508 ; preSmoothTimer ; 4830.66 ; 89.4567 ; upResidualTimer ; 405.144 ; 7.50266 ; postSmoothTimer ; 4810.66 ; 89.0862 ; commTimer ; 990.328 ; 1.49146 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 188.498 ; 3.49071 ; setSolutionTimer ; 5.12985 ; 0.0949972 ; cycleWatch ; 10813.8 ; 1201.54 ; setupWatch ; 33.2651 ; 33.2651 ; restrictionTimer ; 182.577 ; 3.38106 ; preSmoothTimer ; 4842.26 ; 89.6715 ; upResidualTimer ; 406.243 ; 7.52302 ; postSmoothTimer ; 4811.53 ; 89.1024 ; commTimer ; 988.421 ; 1.48859 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 186.487 ; 3.45345 ; setSolutionTimer ; 4.93125 ; 0.0913194 ; cycleWatch ; 10815.8 ; 1201.76 ; setupWatch ; 31.4458 ; 31.4458 ; restrictionTimer ; 190.635 ; 3.53028 ; preSmoothTimer ; 4835 ; 89.5371 ; upResidualTimer ; 405.487 ; 7.50902 ; postSmoothTimer ; 4814.19 ; 89.1516 ; commTimer ; 990.457 ; 1.49165 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 186.058 ; 3.44552 ; setSolutionTimer ; 5.17755 ; 0.0958805 ; cycleWatch ; 10808.5 ; 1200.94 ; setupWatch ; 32.58 ; 32.58 ; restrictionTimer ; 186.282 ; 3.44967 ; preSmoothTimer ; 4837.51 ; 89.5835 ; upResidualTimer ; 407.32 ; 7.54296 ; postSmoothTimer ; 4802.68 ; 88.9386 ; commTimer ; 1006.87 ; 1.51638 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 189.473 ; 3.50877 ; setSolutionTimer ; 5.20835 ; 0.0964509 ; cycleWatch ; 10818.6 ; 1202.07 ; setupWatch ; 32.6172 ; 32.6172 ; restrictionTimer ; 195.205 ; 3.61491 ; preSmoothTimer ; 4835.75 ; 89.5508 ; upResidualTimer ; 400.246 ; 7.41196 ; postSmoothTimer ; 4816.52 ; 89.1949 ; commTimer ; 958.946 ; 1.4442 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 189.327 ; 3.50606 ; setSolutionTimer ; 5.18762 ; 0.0960671 ; cycleWatch ; 10814.2 ; 1201.58 ; setupWatch ; 33.2384 ; 33.2384 ; restrictionTimer ; 183.028 ; 3.38941 ; preSmoothTimer ; 4847.23 ; 89.7635 ; upResidualTimer ; 401.041 ; 7.42669 ; postSmoothTimer ; 4815.13 ; 89.169 ; commTimer ; 954.912 ; 1.43812 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 187.379 ; 3.46998 ; setSolutionTimer ; 4.96774 ; 0.0919951 ; cycleWatch ; 10816.7 ; 1201.85 ; setupWatch ; 30.0208 ; 30.0208 ; restrictionTimer ; 190.662 ; 3.53077 ; preSmoothTimer ; 4841.71 ; 89.6613 ; upResidualTimer ; 398.981 ; 7.38854 ; postSmoothTimer ; 4821.05 ; 89.2787 ; commTimer ; 962.349 ; 1.44932 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 186.151 ; 3.44724 ; setSolutionTimer ; 5.23305 ; 0.0969083 ; cycleWatch ; 10809 ; 1201 ; setupWatch ; 31.402 ; 31.402 ; restrictionTimer ; 185.49 ; 3.43501 ; preSmoothTimer ; 4838.58 ; 89.6034 ; upResidualTimer ; 406.927 ; 7.53569 ; postSmoothTimer ; 4802.92 ; 88.943 ; commTimer ; 1006.27 ; 1.51546 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 189.407 ; 3.50754 ; setSolutionTimer ; 5.19838 ; 0.0962662 ; cycleWatch ; 10819 ; 1202.12 ; setupWatch ; 32.5356 ; 32.5356 ; restrictionTimer ; 195.382 ; 3.61819 ; preSmoothTimer ; 4836.72 ; 89.5689 ; upResidualTimer ; 399.046 ; 7.38974 ; postSmoothTimer ; 4816.99 ; 89.2035 ; commTimer ; 957.908 ; 1.44263 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
