correctionTimer ; 218.681 ; 2.60335 ; setSolutionTimer ; 6.24351 ; 0.0743275 ; cycleWatch ; 5002.7 ; 357.335 ; setupWatch ; 114.295 ; 114.295 ; restrictionTimer ; 341.833 ; 4.06944 ; preSmoothTimer ; 1521.4 ; 18.1119 ; upResidualTimer ; 645.073 ; 7.67944 ; postSmoothTimer ; 1455.21 ; 17.324 ; commTimer ; 2453.24 ; 2.59327 ; timeToSolveWatch ; 5298.51 ; 5298.51 ;
correctionTimer ; 219.115 ; 2.60851 ; setSolutionTimer ; 6.05891 ; 0.0721299 ; cycleWatch ; 5015.04 ; 358.217 ; setupWatch ; 114.576 ; 114.576 ; restrictionTimer ; 336.493 ; 4.00586 ; preSmoothTimer ; 1532.09 ; 18.2392 ; upResidualTimer ; 647.708 ; 7.71081 ; postSmoothTimer ; 1458.2 ; 17.3595 ; commTimer ; 2451.83 ; 2.59179 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 219.087 ; 2.60818 ; setSolutionTimer ; 6.12146 ; 0.0728745 ; cycleWatch ; 5013.51 ; 358.108 ; setupWatch ; 113.86 ; 113.86 ; restrictionTimer ; 340.718 ; 4.05616 ; preSmoothTimer ; 1534.08 ; 18.2629 ; upResidualTimer ; 641.569 ; 7.63773 ; postSmoothTimer ; 1463.18 ; 17.4188 ; commTimer ; 2455.69 ; 2.59587 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 218.812 ; 2.6049 ; setSolutionTimer ; 6.28792 ; 0.0748561 ; cycleWatch ; 5015.89 ; 358.278 ; setupWatch ; 114.006 ; 114.006 ; restrictionTimer ; 341.731 ; 4.06823 ; preSmoothTimer ; 1536.47 ; 18.2913 ; upResidualTimer ; 637.598 ; 7.59045 ; postSmoothTimer ; 1468.2 ; 17.4786 ; commTimer ; 2409.7 ; 2.54726 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.332 ; 2.63491 ; setSolutionTimer ; 6.16793 ; 0.0734277 ; cycleWatch ; 5020.3 ; 358.593 ; setupWatch ; 113.553 ; 113.553 ; restrictionTimer ; 344.848 ; 4.10533 ; preSmoothTimer ; 1526.36 ; 18.171 ; upResidualTimer ; 647.037 ; 7.70282 ; postSmoothTimer ; 1466.47 ; 17.458 ; commTimer ; 2415.06 ; 2.55292 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 222.2 ; 2.64524 ; setSolutionTimer ; 6.34311 ; 0.0755132 ; cycleWatch ; 5023.68 ; 358.834 ; setupWatch ; 114.485 ; 114.485 ; restrictionTimer ; 345.053 ; 4.10777 ; preSmoothTimer ; 1528.45 ; 18.1958 ; upResidualTimer ; 645.133 ; 7.68015 ; postSmoothTimer ; 1467.1 ; 17.4655 ; commTimer ; 2419.42 ; 2.55753 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 222.188 ; 2.6451 ; setSolutionTimer ; 6.07212 ; 0.0722871 ; cycleWatch ; 5023.62 ; 358.83 ; setupWatch ; 114.249 ; 114.249 ; restrictionTimer ; 341.596 ; 4.06662 ; preSmoothTimer ; 1536.34 ; 18.2898 ; upResidualTimer ; 640.844 ; 7.6291 ; postSmoothTimer ; 1472.96 ; 17.5352 ; commTimer ; 2425.68 ; 2.56414 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.501 ; 2.63692 ; setSolutionTimer ; 6.54 ; 0.0778571 ; cycleWatch ; 5026.37 ; 359.026 ; setupWatch ; 114.031 ; 114.031 ; restrictionTimer ; 343.127 ; 4.08484 ; preSmoothTimer ; 1540.99 ; 18.3451 ; upResidualTimer ; 633.803 ; 7.54528 ; postSmoothTimer ; 1479.26 ; 17.6103 ; commTimer ; 2383.86 ; 2.51994 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.341 ; 2.63502 ; setSolutionTimer ; 6.10571 ; 0.0726871 ; cycleWatch ; 5045.41 ; 360.387 ; setupWatch ; 114.207 ; 114.207 ; restrictionTimer ; 319.006 ; 3.79769 ; preSmoothTimer ; 1537.99 ; 18.3094 ; upResidualTimer ; 661.225 ; 7.87172 ; postSmoothTimer ; 1480.58 ; 17.626 ; commTimer ; 2449.72 ; 2.58955 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 222.25 ; 2.64584 ; setSolutionTimer ; 6.04817 ; 0.072002 ; cycleWatch ; 5046.96 ; 360.497 ; setupWatch ; 114.199 ; 114.199 ; restrictionTimer ; 312.635 ; 3.72185 ; preSmoothTimer ; 1543.79 ; 18.3785 ; upResidualTimer ; 662.295 ; 7.88447 ; postSmoothTimer ; 1488.69 ; 17.7225 ; commTimer ; 2459.3 ; 2.59968 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 222.415 ; 2.6478 ; setSolutionTimer ; 6.02674 ; 0.0717469 ; cycleWatch ; 5046.23 ; 360.445 ; setupWatch ; 114.298 ; 114.298 ; restrictionTimer ; 314.996 ; 3.74995 ; preSmoothTimer ; 1545.57 ; 18.3996 ; upResidualTimer ; 658.077 ; 7.83425 ; postSmoothTimer ; 1494.63 ; 17.7932 ; commTimer ; 2458.69 ; 2.59904 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.876 ; 2.64138 ; setSolutionTimer ; 6.01764 ; 0.0716386 ; cycleWatch ; 5047.46 ; 360.533 ; setupWatch ; 113.857 ; 113.857 ; restrictionTimer ; 313.983 ; 3.73789 ; preSmoothTimer ; 1553.72 ; 18.4967 ; upResidualTimer ; 650.486 ; 7.74388 ; postSmoothTimer ; 1499.48 ; 17.851 ; commTimer ; 2416.78 ; 2.55474 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.11 ; 2.63226 ; setSolutionTimer ; 6.25078 ; 0.0744141 ; cycleWatch ; 5055.34 ; 361.096 ; setupWatch ; 114.067 ; 114.067 ; restrictionTimer ; 343.424 ; 4.08838 ; preSmoothTimer ; 1529.26 ; 18.2055 ; upResidualTimer ; 646.471 ; 7.69608 ; postSmoothTimer ; 1488.58 ; 17.7212 ; commTimer ; 2477.42 ; 2.61883 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.976 ; 2.64257 ; setSolutionTimer ; 5.9611 ; 0.0709655 ; cycleWatch ; 5058.97 ; 361.355 ; setupWatch ; 113.77 ; 113.77 ; restrictionTimer ; 340.015 ; 4.0478 ; preSmoothTimer ; 1533.18 ; 18.2521 ; upResidualTimer ; 646.625 ; 7.69791 ; postSmoothTimer ; 1499.89 ; 17.8559 ; commTimer ; 2493.87 ; 2.63623 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.968 ; 2.64247 ; setSolutionTimer ; 5.94584 ; 0.0707838 ; cycleWatch ; 5055.53 ; 361.11 ; setupWatch ; 114.128 ; 114.128 ; restrictionTimer ; 343.355 ; 4.08756 ; preSmoothTimer ; 1535.24 ; 18.2767 ; upResidualTimer ; 641.31 ; 7.63464 ; postSmoothTimer ; 1504.05 ; 17.9054 ; commTimer ; 2500.1 ; 2.64281 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.301 ; 2.63453 ; setSolutionTimer ; 5.90727 ; 0.0703247 ; cycleWatch ; 5057.12 ; 361.223 ; setupWatch ; 114.503 ; 114.503 ; restrictionTimer ; 339.426 ; 4.04079 ; preSmoothTimer ; 1545.26 ; 18.3959 ; upResidualTimer ; 634.719 ; 7.55618 ; postSmoothTimer ; 1510.26 ; 17.9792 ; commTimer ; 2444.42 ; 2.58395 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.539 ; 2.63737 ; setSolutionTimer ; 6.50911 ; 0.0774894 ; cycleWatch ; 5066.86 ; 361.919 ; setupWatch ; 113.737 ; 113.737 ; restrictionTimer ; 343.543 ; 4.0898 ; preSmoothTimer ; 1520.6 ; 18.1023 ; upResidualTimer ; 657.736 ; 7.83019 ; postSmoothTimer ; 1492.7 ; 17.7703 ; commTimer ; 2386.84 ; 2.52309 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 222.271 ; 2.64608 ; setSolutionTimer ; 6.51928 ; 0.0776104 ; cycleWatch ; 5071.93 ; 362.281 ; setupWatch ; 114.378 ; 114.378 ; restrictionTimer ; 340.188 ; 4.04986 ; preSmoothTimer ; 1525.05 ; 18.1554 ; upResidualTimer ; 657.142 ; 7.82311 ; postSmoothTimer ; 1503.04 ; 17.8933 ; commTimer ; 2387.77 ; 2.52407 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 222.115 ; 2.64423 ; setSolutionTimer ; 6.26019 ; 0.0745261 ; cycleWatch ; 5065.91 ; 361.85 ; setupWatch ; 114.3 ; 114.3 ; restrictionTimer ; 338.547 ; 4.03033 ; preSmoothTimer ; 1532.26 ; 18.2412 ; upResidualTimer ; 651.721 ; 7.75858 ; postSmoothTimer ; 1507.84 ; 17.9505 ; commTimer ; 2397.05 ; 2.53388 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.522 ; 2.63717 ; setSolutionTimer ; 6.222 ; 0.0740714 ; cycleWatch ; 5066.86 ; 361.919 ; setupWatch ; 113.892 ; 113.892 ; restrictionTimer ; 338.892 ; 4.03443 ; preSmoothTimer ; 1545.11 ; 18.3941 ; upResidualTimer ; 638.111 ; 7.59656 ; postSmoothTimer ; 1515.42 ; 18.0408 ; commTimer ; 2346.06 ; 2.47998 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.953 ; 2.6423 ; setSolutionTimer ; 6.39161 ; 0.0760907 ; cycleWatch ; 5070.38 ; 362.17 ; setupWatch ; 114.189 ; 114.189 ; restrictionTimer ; 339.738 ; 4.0445 ; preSmoothTimer ; 1521.01 ; 18.1072 ; upResidualTimer ; 661.999 ; 7.88095 ; postSmoothTimer ; 1492.35 ; 17.7661 ; commTimer ; 2380.13 ; 2.51599 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 222.438 ; 2.64807 ; setSolutionTimer ; 6.20406 ; 0.0738579 ; cycleWatch ; 5072.91 ; 362.351 ; setupWatch ; 114.194 ; 114.194 ; restrictionTimer ; 332.771 ; 3.96156 ; preSmoothTimer ; 1527.62 ; 18.1859 ; upResidualTimer ; 663.06 ; 7.89357 ; postSmoothTimer ; 1497.51 ; 17.8275 ; commTimer ; 2381.26 ; 2.51719 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 222.122 ; 2.64431 ; setSolutionTimer ; 6.25026 ; 0.0744078 ; cycleWatch ; 5069.13 ; 362.081 ; setupWatch ; 113.996 ; 113.996 ; restrictionTimer ; 339.569 ; 4.04249 ; preSmoothTimer ; 1528.31 ; 18.1942 ; upResidualTimer ; 655.56 ; 7.80429 ; postSmoothTimer ; 1502.98 ; 17.8926 ; commTimer ; 2383.11 ; 2.51914 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.302 ; 2.63454 ; setSolutionTimer ; 6.42246 ; 0.0764579 ; cycleWatch ; 5069.74 ; 362.124 ; setupWatch ; 113.467 ; 113.467 ; restrictionTimer ; 338.434 ; 4.02898 ; preSmoothTimer ; 1534.72 ; 18.2705 ; upResidualTimer ; 649.601 ; 7.73335 ; postSmoothTimer ; 1508.95 ; 17.9637 ; commTimer ; 2328.77 ; 2.4617 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.177 ; 2.63305 ; setSolutionTimer ; 6.34651 ; 0.0755537 ; cycleWatch ; 5075.76 ; 362.554 ; setupWatch ; 114.501 ; 114.501 ; restrictionTimer ; 334.692 ; 3.98443 ; preSmoothTimer ; 1517.49 ; 18.0654 ; upResidualTimer ; 670.61 ; 7.98345 ; postSmoothTimer ; 1504.93 ; 17.9158 ; commTimer ; 2383.33 ; 2.51937 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 222.133 ; 2.64444 ; setSolutionTimer ; 6.2172 ; 0.0740143 ; cycleWatch ; 5076.55 ; 362.611 ; setupWatch ; 113.772 ; 113.772 ; restrictionTimer ; 330.377 ; 3.93306 ; preSmoothTimer ; 1522.09 ; 18.1201 ; upResidualTimer ; 670.642 ; 7.98383 ; postSmoothTimer ; 1505.86 ; 17.9269 ; commTimer ; 2386.63 ; 2.52286 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.992 ; 2.64277 ; setSolutionTimer ; 6.65873 ; 0.0792706 ; cycleWatch ; 5075.64 ; 362.546 ; setupWatch ; 114.628 ; 114.628 ; restrictionTimer ; 340.785 ; 4.05696 ; preSmoothTimer ; 1520.29 ; 18.0987 ; upResidualTimer ; 661.811 ; 7.8787 ; postSmoothTimer ; 1507.92 ; 17.9515 ; commTimer ; 2382.27 ; 2.51826 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.392 ; 2.63562 ; setSolutionTimer ; 6.37997 ; 0.075952 ; cycleWatch ; 5077.87 ; 362.705 ; setupWatch ; 114.237 ; 114.237 ; restrictionTimer ; 332.105 ; 3.95363 ; preSmoothTimer ; 1535.87 ; 18.2841 ; upResidualTimer ; 654.695 ; 7.79398 ; postSmoothTimer ; 1514.5 ; 18.0297 ; commTimer ; 2337.76 ; 2.47121 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
correctionTimer ; 221.13 ; 2.6325 ; setSolutionTimer ; 6.21527 ; 0.0739913 ; cycleWatch ; 5078.94 ; 362.781 ; setupWatch ; 113.883 ; 113.883 ; restrictionTimer ; 340.477 ; 4.0533 ; preSmoothTimer ; 1519.14 ; 18.085 ; upResidualTimer ; 663.657 ; 7.90068 ; postSmoothTimer ; 1514.49 ; 18.0297 ; commTimer ; 2403.42 ; 2.54062 ; timeToSolveWatch ; 5298.1 ; 5298.1 ;
