correctionTimer ; 180.357 ; 3.33994 ; setSolutionTimer ; 12.5567 ; 0.232531 ; cycleWatch ; 37188.3 ; 4132.03 ; setupWatch ; 39.6498 ; 39.6498 ; restrictionTimer ; 294.535 ; 5.45434 ; preSmoothTimer ; 17775.2 ; 329.17 ; upResidualTimer ; 633.499 ; 11.7315 ; postSmoothTimer ; 17760.3 ; 328.894 ; commTimer ; 2517.74 ; 3.78607 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 177.971 ; 3.29577 ; setSolutionTimer ; 13.1535 ; 0.243583 ; cycleWatch ; 37197.1 ; 4133.01 ; setupWatch ; 40.1748 ; 40.1748 ; restrictionTimer ; 292.782 ; 5.42189 ; preSmoothTimer ; 17779.7 ; 329.253 ; upResidualTimer ; 630.115 ; 11.6688 ; postSmoothTimer ; 17772.2 ; 329.115 ; commTimer ; 2530.62 ; 3.80544 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 169.259 ; 3.13442 ; setSolutionTimer ; 12.3275 ; 0.228286 ; cycleWatch ; 37170.2 ; 4130.02 ; setupWatch ; 37.8244 ; 37.8244 ; restrictionTimer ; 292.939 ; 5.42479 ; preSmoothTimer ; 17692.6 ; 327.642 ; upResidualTimer ; 717.682 ; 13.2904 ; postSmoothTimer ; 17693.4 ; 327.655 ; commTimer ; 3049.61 ; 4.58588 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 171.039 ; 3.16739 ; setSolutionTimer ; 11.3511 ; 0.210206 ; cycleWatch ; 37162.6 ; 4129.17 ; setupWatch ; 40.2229 ; 40.2229 ; restrictionTimer ; 292.74 ; 5.4211 ; preSmoothTimer ; 17616.5 ; 326.231 ; upResidualTimer ; 795.045 ; 14.723 ; postSmoothTimer ; 17598.3 ; 325.895 ; commTimer ; 3465.6 ; 5.21143 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 179.641 ; 3.32668 ; setSolutionTimer ; 13.255 ; 0.245462 ; cycleWatch ; 37183.6 ; 4131.51 ; setupWatch ; 39.9208 ; 39.9208 ; restrictionTimer ; 294.097 ; 5.44624 ; preSmoothTimer ; 17801.8 ; 329.663 ; upResidualTimer ; 606.616 ; 11.2336 ; postSmoothTimer ; 17782.3 ; 329.302 ; commTimer ; 2381.16 ; 3.58068 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 179.04 ; 3.31556 ; setSolutionTimer ; 13.1449 ; 0.243425 ; cycleWatch ; 37179.7 ; 4131.08 ; setupWatch ; 39.0368 ; 39.0368 ; restrictionTimer ; 294.472 ; 5.45319 ; preSmoothTimer ; 17798.3 ; 329.599 ; upResidualTimer ; 609.803 ; 11.2926 ; postSmoothTimer ; 17778 ; 329.223 ; commTimer ; 2384.88 ; 3.58629 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 178.366 ; 3.30307 ; setSolutionTimer ; 11.7396 ; 0.2174 ; cycleWatch ; 37180.3 ; 4131.15 ; setupWatch ; 39.6279 ; 39.6279 ; restrictionTimer ; 288.342 ; 5.33966 ; preSmoothTimer ; 17808.5 ; 329.788 ; upResidualTimer ; 607.194 ; 11.2443 ; postSmoothTimer ; 17776.9 ; 329.203 ; commTimer ; 2384.1 ; 3.58512 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 181.63 ; 3.36353 ; setSolutionTimer ; 13.5628 ; 0.251163 ; cycleWatch ; 37181.7 ; 4131.3 ; setupWatch ; 39.8069 ; 39.8069 ; restrictionTimer ; 297.997 ; 5.51847 ; preSmoothTimer ; 17799.1 ; 329.613 ; upResidualTimer ; 605.179 ; 11.207 ; postSmoothTimer ; 17775.5 ; 329.175 ; commTimer ; 2379.93 ; 3.57885 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 180.221 ; 3.33742 ; setSolutionTimer ; 13.1981 ; 0.244409 ; cycleWatch ; 37191 ; 4132.33 ; setupWatch ; 37.8289 ; 37.8289 ; restrictionTimer ; 296.832 ; 5.49688 ; preSmoothTimer ; 17797.7 ; 329.587 ; upResidualTimer ; 608.189 ; 11.2628 ; postSmoothTimer ; 17782 ; 329.297 ; commTimer ; 2391.96 ; 3.59693 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 181.22 ; 3.35592 ; setSolutionTimer ; 12.3887 ; 0.22942 ; cycleWatch ; 37199.4 ; 4133.27 ; setupWatch ; 38.6708 ; 38.6708 ; restrictionTimer ; 294.842 ; 5.46004 ; preSmoothTimer ; 17797.6 ; 329.585 ; upResidualTimer ; 611.135 ; 11.3173 ; postSmoothTimer ; 17789.5 ; 329.436 ; commTimer ; 2400.32 ; 3.60951 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 180.321 ; 3.33928 ; setSolutionTimer ; 13.1479 ; 0.24348 ; cycleWatch ; 37191.1 ; 4132.35 ; setupWatch ; 37.9134 ; 37.9134 ; restrictionTimer ; 295.995 ; 5.48139 ; preSmoothTimer ; 17796.1 ; 329.557 ; upResidualTimer ; 610.797 ; 11.3111 ; postSmoothTimer ; 17782.6 ; 329.307 ; commTimer ; 2393.81 ; 3.59971 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 181.045 ; 3.35269 ; setSolutionTimer ; 12.6842 ; 0.234893 ; cycleWatch ; 37189.4 ; 4132.15 ; setupWatch ; 41.2723 ; 41.2723 ; restrictionTimer ; 293.915 ; 5.44287 ; preSmoothTimer ; 17801.7 ; 329.661 ; upResidualTimer ; 607.713 ; 11.2539 ; postSmoothTimer ; 17781.1 ; 329.28 ; commTimer ; 2389.72 ; 3.59357 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
